cell_id,Amandava amandava,Amandava amandava amandava/punicea,Amandava amandava flavidiventris
823907fffffffff,1174.0,0.0,0.0
82390ffffffffff,318.0,0.0,0.0
823917fffffffff,41.0,0.0,0.0
82391ffffffffff,140.0,0.0,0.0
823937fffffffff,3.0,0.0,0.0
823c07fffffffff,160.0,0.0,0.0
823c17fffffffff,28.0,0.0,0.0
823c1ffffffffff,45.0,0.0,0.0
823c37fffffffff,63.0,0.0,0.0
823c87fffffffff,128.0,0.0,0.0
823c8ffffffffff,86.0,0.0,0.0
823c97fffffffff,114.0,0.0,0.0
823c9ffffffffff,24.0,0.0,0.0
823ca7fffffffff,36.0,0.0,0.0
823caffffffffff,159.0,0.0,0.0
823cb7fffffffff,1718.0,0.0,0.0
823cc7fffffffff,14.0,0.0,0.0
823ccffffffffff,10.0,0.0,0.0
823cdffffffffff,34.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0
823ceffffffffff,20.0,0.0,0.0
823cf7fffffffff,909.0,2.0,0.0
823d17fffffffff,873.0,0.0,0.0
823d37fffffffff,134.0,0.0,0.0
823d87fffffffff,565.0,0.0,0.0
823d8ffffffffff,175.0,0.0,0.0
823d97fffffffff,177.0,0.0,0.0
823d9ffffffffff,196.0,0.0,0.0
823da7fffffffff,2082.0,0.0,0.0
823daffffffffff,296.0,0.0,0.0
823db7fffffffff,120.0,0.0,0.0
823e5ffffffffff,20.0,0.0,0.0
823e67fffffffff,32.0,0.0,0.0
823e77fffffffff,1.0,0.0,0.0
82404ffffffffff,13.0,0.0,0.0
82415ffffffffff,2.0,0.0,0.0
82416ffffffffff,4.0,0.0,0.0
82424ffffffffff,48.0,0.0,0.0
82426ffffffffff,20.0,0.0,0.0
8242c7fffffffff,249.0,0.0,0.0
8242cffffffffff,987.0,0.0,0.0
8242d7fffffffff,2.0,0.0,0.0
8242dffffffffff,788.0,0.0,0.0
8242e7fffffffff,1.0,0.0,0.0
82438ffffffffff,2.0,0.0,0.0
8243a7fffffffff,6.0,0.0,0.0
8243affffffffff,3.0,0.0,0.0
82464ffffffffff,1078.0,0.0,0.0
82524ffffffffff,1.0,0.0,0.0
825347fffffffff,3.0,0.0,0.0
825357fffffffff,10.0,0.0,0.0
82536ffffffffff,4.0,0.0,0.0
825d17fffffffff,501.0,0.0,0.0
825e47fffffffff,1.0,0.0,0.0
825e5ffffffffff,125.0,0.0,0.0
826007fffffffff,395.0,0.0,0.0
826017fffffffff,4349.0,0.0,0.0
82601ffffffffff,246.0,0.0,0.0
826027fffffffff,100.0,0.0,0.0
826037fffffffff,259.0,0.0,0.0
826087fffffffff,197.0,0.0,0.0
82608ffffffffff,3492.0,0.0,0.0
826097fffffffff,667.0,0.0,0.0
82609ffffffffff,520.0,0.0,0.0
8260a7fffffffff,313.0,0.0,0.0
8260affffffffff,410.0,0.0,0.0
8260b7fffffffff,1776.0,0.0,0.0
82618ffffffffff,802.0,0.0,0.0
82619ffffffffff,40.0,0.0,0.0
8261affffffffff,14.0,0.0,0.0
826487fffffffff,359.0,103.0,0.0
82648ffffffffff,17.0,0.0,0.0
826497fffffffff,102.0,2.0,7.0
82649ffffffffff,4.0,0.0,0.0
8264a7fffffffff,574.0,399.0,0.0
8264b7fffffffff,144.0,26.0,0.0
826527fffffffff,11.0,0.0,0.0
826587fffffffff,349.0,0.0,0.0
82658ffffffffff,334.0,145.0,0.0
826597fffffffff,6.0,0.0,0.0
82659ffffffffff,213.0,46.0,0.0
8265b7fffffffff,13.0,0.0,0.0
826817fffffffff,9.0,0.0,0.0
828c17fffffffff,1.0,0.0,0.0
828d87fffffffff,2.0,0.0,0.0
828da7fffffffff,2.0,0.0,0.0
829407fffffffff,2.0,0.0,0.0
829427fffffffff,20.0,0.0,0.0
82942ffffffffff,37.0,0.0,0.0
829437fffffffff,2.0,0.0,0.0
82951ffffffffff,7.0,0.0,1.0
829557fffffffff,7.0,0.0,0.0
8295affffffffff,9.0,0.0,0.0
829b47fffffffff,16.0,0.0,0.0
829b4ffffffffff,14.0,0.0,0.0
829b5ffffffffff,6.0,0.0,0.0
829b6ffffffffff,54.0,0.0,0.0
