cell_id,Motacilla tschutschensis,Motacilla tschutschensis tschutschensis/plexa,Motacilla tschutschensis taivana,Motacilla tschutschensis macronyx
8409a69ffffffff,7.0,0.0,0.0,0.0
840c141ffffffff,2.0,0.0,0.0,0.0
840c143ffffffff,7.0,0.0,0.0,0.0
840c145ffffffff,3.0,0.0,0.0,0.0
840c147ffffffff,2.0,0.0,0.0,0.0
840c309ffffffff,5.0,0.0,0.0,0.0
840c341ffffffff,5.0,0.0,0.0,0.0
840c415ffffffff,6.0,0.0,0.0,0.0
840ca43ffffffff,7.0,0.0,0.0,0.0
840d117ffffffff,2.0,0.0,0.0,0.0
840d605ffffffff,15.0,0.0,0.0,0.0
840d629ffffffff,48.0,0.0,0.0,0.0
840d667ffffffff,2.0,0.0,0.0,0.0
840d751ffffffff,17.0,0.0,0.0,0.0
840d763ffffffff,9.0,0.0,0.0,0.0
8412b03ffffffff,1.0,0.0,0.0,0.0
84139edffffffff,1.0,0.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0,0.0
8415939ffffffff,2.0,0.0,2.0,0.0
8416507ffffffff,8.0,8.0,0.0,0.0
84165e1ffffffff,4.0,0.0,0.0,0.0
84171a7ffffffff,2.0,0.0,0.0,0.0
841828bffffffff,5.0,0.0,0.0,0.0
841846dffffffff,2.0,0.0,0.0,0.0
8418729ffffffff,1.0,0.0,0.0,0.0
841873bffffffff,3.0,0.0,0.0,0.0
8419413ffffffff,14.0,2.0,0.0,0.0
8419415ffffffff,34.0,21.0,0.0,0.0
841948dffffffff,1.0,1.0,0.0,0.0
84195bdffffffff,2.0,0.0,0.0,0.0
8419689ffffffff,4.0,0.0,0.0,0.0
8419733ffffffff,10.0,0.0,0.0,0.0
841eda3ffffffff,6.0,0.0,0.0,0.0
841f051ffffffff,2.0,0.0,0.0,0.0
841f725ffffffff,3.0,0.0,0.0,0.0
84225a5ffffffff,6.0,6.0,0.0,0.0
8422db7ffffffff,7.0,0.0,0.0,0.0
84242d5ffffffff,1.0,0.0,0.0,1.0
84244b1ffffffff,1.0,0.0,0.0,0.0
8424529ffffffff,3.0,3.0,0.0,0.0
84255a3ffffffff,1.0,1.0,0.0,0.0
842802bffffffff,2.0,0.0,0.0,0.0
8428069ffffffff,1.0,0.0,0.0,0.0
84281bbffffffff,1.0,0.0,0.0,0.0
84281cbffffffff,1.0,0.0,0.0,0.0
8428309ffffffff,41.0,2.0,0.0,0.0
842830bffffffff,2.0,0.0,0.0,0.0
8428341ffffffff,2.0,0.0,0.0,0.0
8429125ffffffff,1.0,0.0,0.0,0.0
8429a19ffffffff,7.0,1.0,0.0,0.0
8429ac9ffffffff,3.0,0.0,0.0,0.0
842c93bffffffff,3.0,0.0,0.0,0.0
842e2b5ffffffff,3.0,0.0,0.0,0.0
842e6b5ffffffff,2.0,0.0,0.0,2.0
842f5d7ffffffff,1.0,0.0,0.0,0.0
8430815ffffffff,2.0,0.0,0.0,0.0
8430833ffffffff,2.0,0.0,0.0,0.0
8430991ffffffff,8.0,0.0,5.0,0.0
8430997ffffffff,4.0,0.0,1.0,0.0
84309b3ffffffff,3.0,0.0,0.0,0.0
84309bbffffffff,3.0,0.0,0.0,0.0
84309d9ffffffff,3.0,0.0,0.0,0.0
8430d11ffffffff,2.0,0.0,0.0,0.0
8430d97ffffffff,1.0,0.0,0.0,0.0
8431857ffffffff,2.0,0.0,0.0,0.0
843185bffffffff,34.0,11.0,0.0,0.0
84318d1ffffffff,10.0,7.0,0.0,0.0
8431aa1ffffffff,3.0,0.0,0.0,0.0
8431aabffffffff,2.0,0.0,0.0,0.0
8431aadffffffff,2.0,0.0,0.0,0.0
8439187ffffffff,7.0,0.0,0.0,0.0
843931bffffffff,5.0,0.0,0.0,0.0
8439333ffffffff,38.0,0.0,0.0,0.0
843946dffffffff,8.0,2.0,0.0,0.0
843c0a5ffffffff,14.0,0.0,0.0,0.0
843c191ffffffff,18.0,0.0,0.0,0.0
843c199ffffffff,75.0,0.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0,0.0
843c1b5ffffffff,19.0,0.0,0.0,0.0
843c1d1ffffffff,2.0,0.0,0.0,0.0
843c1d3ffffffff,10.0,0.0,0.0,0.0
843c1d7ffffffff,1.0,0.0,0.0,0.0
843c521ffffffff,5.0,0.0,0.0,0.0
843c581ffffffff,1.0,0.0,0.0,0.0
843c5a9ffffffff,25.0,1.0,0.0,0.0
843c805ffffffff,1.0,0.0,0.0,0.0
843c899ffffffff,84.0,7.0,0.0,0.0
843c8d7ffffffff,2.0,0.0,0.0,0.0
843c8dbffffffff,37.0,0.0,0.0,0.0
843c8e1ffffffff,4.0,0.0,0.0,0.0
843c8e5ffffffff,5.0,0.0,0.0,0.0
843c925ffffffff,6.0,2.0,0.0,0.0
843c927ffffffff,1.0,0.0,0.0,0.0
843c92dffffffff,2.0,0.0,0.0,0.0
843c951ffffffff,1.0,0.0,0.0,0.0
843c9d9ffffffff,10.0,0.0,1.0,0.0
843c9ddffffffff,1.0,0.0,0.0,0.0
843ca87ffffffff,1.0,0.0,0.0,0.0
843ca91ffffffff,1.0,0.0,0.0,0.0
843ca93ffffffff,6.0,0.0,0.0,0.0
