cell_id,Phaethornis griseogularis,Phaethornis griseogularis porcullae,Phaethornis griseogularis griseogularis/zonura
84662b7ffffffff,4.0,0.0,0.0
84662d3ffffffff,4.0,0.0,0.0
84664e9ffffffff,2.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0
8466c63ffffffff,2.0,0.0,0.0
8466de1ffffffff,6.0,0.0,5.0
8466de3ffffffff,1.0,0.0,0.0
8466de7ffffffff,8.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0
8466e03ffffffff,2.0,0.0,0.0
8466e3bffffffff,2.0,0.0,0.0
8466e57ffffffff,11.0,0.0,0.0
8466e59ffffffff,4.0,0.0,4.0
8466ec7ffffffff,1.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0
84675a9ffffffff,2.0,0.0,0.0
84675e3ffffffff,3.0,0.0,0.0
84675ebffffffff,7.0,0.0,1.0
848f509ffffffff,3.0,3.0,0.0
848f50dffffffff,12.0,0.0,0.0
848f725ffffffff,2.0,2.0,0.0
848f733ffffffff,2.0,0.0,2.0
