cell_id,Aphelocoma wollweberi,Aphelocoma wollweberi [wollweberi Group],Aphelocoma wollweberi couchii,Aphelocoma wollweberi potosina
8448147ffffffff,1.0,0.0,0.0,0.0
8448a29ffffffff,1.0,0.0,1.0,0.0
8448ab7ffffffff,57.0,0.0,53.0,0.0
8448c19ffffffff,11.0,0.0,0.0,0.0
8448c1bffffffff,2.0,2.0,0.0,0.0
8448c59ffffffff,18.0,6.0,0.0,0.0
8448c5bffffffff,6.0,0.0,0.0,0.0
8448cc1ffffffff,11.0,9.0,0.0,0.0
8448cc3ffffffff,3.0,0.0,0.0,0.0
8448cc9ffffffff,5.0,5.0,0.0,0.0
8448ccdffffffff,2.0,1.0,0.0,0.0
8448cd1ffffffff,2.0,0.0,0.0,0.0
8448cd5ffffffff,2.0,0.0,0.0,0.0
8448cd9ffffffff,108.0,24.0,0.0,0.0
8448cdbffffffff,87.0,22.0,0.0,0.0
8448cddffffffff,1.0,0.0,0.0,0.0
8448e37ffffffff,25.0,23.0,0.0,0.0
8448e85ffffffff,26.0,4.0,0.0,0.0
8448e8dffffffff,43.0,11.0,0.0,0.0
8448ea1ffffffff,2.0,0.0,0.0,0.0
8448ea9ffffffff,10.0,2.0,0.0,0.0
8448eabffffffff,17.0,0.0,0.0,0.0
8448eadffffffff,14.0,5.0,0.0,0.0
8448eb1ffffffff,2.0,0.0,0.0,0.0
8448eb7ffffffff,2.0,0.0,0.0,0.0
8448ec5ffffffff,5.0,3.0,0.0,0.0
8448ec7ffffffff,5.0,4.0,0.0,0.0
8448ee1ffffffff,1.0,1.0,0.0,0.0
8448ee5ffffffff,2.0,2.0,0.0,0.0
8448ee9ffffffff,9.0,2.0,0.0,0.0
8448eebffffffff,31.0,7.0,0.0,0.0
8449821ffffffff,2.0,0.0,0.0,0.0
844983dffffffff,2.0,0.0,0.0,0.0
8449893ffffffff,3.0,0.0,0.0,0.0
844991dffffffff,4.0,0.0,0.0,1.0
8449987ffffffff,1.0,0.0,1.0,0.0
84499bbffffffff,2.0,0.0,0.0,0.0
84499c9ffffffff,3.0,0.0,0.0,0.0
