cell_id,Serpophaga subcristata,Serpophaga subcristata subcristata/straminea,Serpophaga subcristata munda
8480023ffffffff,2.0,2.0,0.0
8480301ffffffff,38.0,36.0,0.0
8480309ffffffff,10.0,5.0,0.0
8480359ffffffff,4.0,4.0,0.0
8480363ffffffff,2.0,2.0,0.0
8481005ffffffff,6.0,5.0,0.0
8481007ffffffff,2.0,2.0,0.0
8481049ffffffff,1.0,1.0,0.0
848104bffffffff,3.0,3.0,0.0
8481061ffffffff,2.0,2.0,0.0
8481063ffffffff,5.0,3.0,0.0
8481187ffffffff,1.0,0.0,0.0
84811abffffffff,1.0,1.0,0.0
8481237ffffffff,1.0,0.0,0.0
8481303ffffffff,3.0,2.0,0.0
8481307ffffffff,2.0,2.0,0.0
848130bffffffff,1.0,0.0,0.0
8481311ffffffff,2.0,2.0,0.0
848131dffffffff,3.0,3.0,0.0
8481331ffffffff,4.0,4.0,0.0
8481339ffffffff,132.0,124.0,0.0
848133dffffffff,3.0,3.0,0.0
8481343ffffffff,1.0,1.0,0.0
8481345ffffffff,2.0,2.0,0.0
848134dffffffff,2.0,0.0,0.0
8481363ffffffff,1.0,0.0,0.0
8481811ffffffff,2.0,2.0,0.0
8481819ffffffff,3.0,3.0,0.0
8481857ffffffff,3.0,3.0,0.0
8481885ffffffff,2.0,2.0,0.0
84818c3ffffffff,1.0,0.0,0.0
84819d9ffffffff,1.0,0.0,0.0
8481ad1ffffffff,6.0,6.0,0.0
848b065ffffffff,2.0,0.0,2.0
848b0c1ffffffff,2.0,0.0,2.0
848b0c3ffffffff,3.0,3.0,0.0
848b0c9ffffffff,3.0,2.0,0.0
848b0cdffffffff,4.0,0.0,4.0
848b0d1ffffffff,15.0,6.0,9.0
848b0d5ffffffff,3.0,3.0,0.0
848b0ddffffffff,2.0,2.0,0.0
848b201ffffffff,16.0,0.0,8.0
848b203ffffffff,43.0,0.0,36.0
848b205ffffffff,41.0,7.0,31.0
848b207ffffffff,2.0,2.0,0.0
848b20bffffffff,98.0,3.0,82.0
848b21dffffffff,5.0,0.0,5.0
848b221ffffffff,20.0,12.0,8.0
848b223ffffffff,6.0,0.0,6.0
848b229ffffffff,10.0,2.0,8.0
848b22dffffffff,69.0,20.0,48.0
848b23dffffffff,2.0,0.0,2.0
848b241ffffffff,4.0,0.0,4.0
848b247ffffffff,2.0,0.0,2.0
848b251ffffffff,22.0,0.0,22.0
848b255ffffffff,1.0,0.0,1.0
848b257ffffffff,1.0,0.0,1.0
848b259ffffffff,26.0,0.0,26.0
848b25dffffffff,8.0,0.0,8.0
848b261ffffffff,3.0,0.0,3.0
848b267ffffffff,5.0,0.0,5.0
848b269ffffffff,26.0,16.0,10.0
848b2a5ffffffff,8.0,3.0,5.0
848b2a7ffffffff,25.0,8.0,12.0
848b2c9ffffffff,123.0,0.0,122.0
848b2cdffffffff,9.0,0.0,9.0
848b2d9ffffffff,3.0,0.0,3.0
848b2e9ffffffff,1.0,0.0,1.0
848b315ffffffff,3.0,0.0,3.0
848b319ffffffff,2.0,2.0,0.0
848b31bffffffff,1.0,0.0,1.0
848b363ffffffff,2.0,0.0,2.0
848b9d5ffffffff,3.0,3.0,0.0
848ba65ffffffff,1.0,1.0,0.0
848bb59ffffffff,6.0,6.0,0.0
84a5961ffffffff,6.0,6.0,0.0
84a8001ffffffff,6.0,6.0,0.0
84a8007ffffffff,2.0,2.0,0.0
84a8009ffffffff,4.0,4.0,0.0
84a800dffffffff,4.0,4.0,0.0
84a8013ffffffff,4.0,4.0,0.0
84a8019ffffffff,2.0,2.0,0.0
84a801bffffffff,68.0,68.0,0.0
84a8025ffffffff,1.0,1.0,0.0
84a802dffffffff,2.0,2.0,0.0
84a8031ffffffff,1.0,1.0,0.0
84a803dffffffff,3.0,2.0,0.0
84a8043ffffffff,5.0,4.0,0.0
84a8049ffffffff,8.0,8.0,0.0
84a804bffffffff,5.0,5.0,0.0
84a804dffffffff,33.0,31.0,0.0
84a8055ffffffff,4.0,0.0,0.0
84a805dffffffff,10.0,10.0,0.0
84a8063ffffffff,2.0,2.0,0.0
84a8067ffffffff,29.0,22.0,0.0
84a8069ffffffff,6.0,6.0,0.0
84a808dffffffff,6.0,6.0,0.0
84a80a5ffffffff,2.0,2.0,0.0
84a80c3ffffffff,3.0,3.0,0.0
84a8101ffffffff,196.0,185.0,0.0
84a8103ffffffff,17.0,8.0,0.0
84a8105ffffffff,228.0,193.0,0.0
84a8107ffffffff,112.0,101.0,0.0
84a8109ffffffff,4.0,4.0,0.0
84a810bffffffff,3.0,3.0,0.0
84a810dffffffff,4.0,0.0,0.0
84a8113ffffffff,19.0,17.0,0.0
84a8115ffffffff,57.0,47.0,0.0
84a8117ffffffff,14.0,12.0,0.0
84a8119ffffffff,15.0,12.0,0.0
84a811bffffffff,2.0,2.0,0.0
84a811dffffffff,6.0,4.0,0.0
84a8121ffffffff,7.0,6.0,0.0
84a8123ffffffff,94.0,84.0,0.0
84a8125ffffffff,19.0,17.0,0.0
84a8127ffffffff,185.0,168.0,0.0
84a8129ffffffff,26.0,15.0,0.0
84a812bffffffff,45.0,37.0,0.0
84a8131ffffffff,89.0,89.0,0.0
84a8135ffffffff,2.0,2.0,0.0
84a8137ffffffff,1.0,1.0,0.0
84a8139ffffffff,248.0,238.0,0.0
84a813bffffffff,29.0,21.0,0.0
84a813dffffffff,14.0,12.0,0.0
84a8143ffffffff,3.0,3.0,0.0
84a8153ffffffff,65.0,61.0,0.0
84a8155ffffffff,3.0,3.0,0.0
84a8157ffffffff,9.0,1.0,0.0
84a815bffffffff,21.0,21.0,0.0
84a8181ffffffff,2.0,2.0,0.0
84a8185ffffffff,19.0,18.0,0.0
84a8187ffffffff,1.0,1.0,0.0
84a8189ffffffff,3.0,3.0,0.0
84a818dffffffff,20.0,15.0,0.0
84a8191ffffffff,7.0,7.0,0.0
84a8195ffffffff,9.0,8.0,0.0
84a8197ffffffff,2.0,2.0,0.0
