cell_id,Phalacrocorax carbo,Phalacrocorax carbo carbo,Phalacrocorax carbo novaehollandiae,Phalacrocorax carbo sinensis/hanedae,Phalacrocorax carbo maroccanus,Phalacrocorax carbo lucidus,Phalacrocorax carbo carbo/sinensis
8401207ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840122bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8401239ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840123dffffffff,7.0,2.0,0.0,0.0,0.0,0.0,0.0
8401259ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840125dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8401261ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8401265ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
840126bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840130bffffffff,283.0,43.0,0.0,0.0,0.0,0.0,0.0
8401319ffffffff,116.0,9.0,0.0,0.0,0.0,0.0,0.0
840131dffffffff,35.0,2.0,0.0,0.0,0.0,0.0,0.0
8401343ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840134bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8401351ffffffff,108.0,28.0,0.0,0.0,0.0,0.0,0.0
8401353ffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8401355ffffffff,89.0,15.0,0.0,0.0,0.0,0.0,0.0
8401357ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8401359ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840135bffffffff,25.0,2.0,0.0,0.0,0.0,0.0,0.0
840135dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840136dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8406885ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406897ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840689bffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0
8406953ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8406dcdffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8406dd1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8407411ffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8407417ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8407419ffffffff,7.0,7.0,0.0,0.0,0.0,0.0,0.0
840741dffffffff,5.0,3.0,0.0,0.0,0.0,0.0,0.0
8407425ffffffff,20.0,9.0,0.0,0.0,0.0,0.0,0.0
8407431ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
