cell_id,Rauenia bonariensis,Rauenia bonariensis darwinii,Rauenia bonariensis [bonariensis Group]
8366d3fffffffff,15.0,7.0,0.0
8366defffffffff,3.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b22fffffffff,2.0,0.0,0.0
838b25fffffffff,26.0,0.0,26.0
838b61fffffffff,18.0,18.0,0.0
838e62fffffffff,3.0,2.0,0.0
838e66fffffffff,4.0,3.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f50fffffffff,2.0,0.0,0.0
838f59fffffffff,3.0,0.0,0.0
838f5cfffffffff,1.0,1.0,0.0
83a813fffffffff,2.0,0.0,0.0
83a941fffffffff,2.0,0.0,0.0
83a950fffffffff,2.0,0.0,0.0
83a953fffffffff,2.0,0.0,0.0
83a96afffffffff,6.0,0.0,0.0
83a96efffffffff,3.0,0.0,0.0
83b248fffffffff,2.0,0.0,0.0
83b24dfffffffff,139.0,0.0,0.0
83b251fffffffff,1.0,0.0,1.0
83b25cfffffffff,1.0,0.0,1.0
83b261fffffffff,7.0,0.0,0.0
83b268fffffffff,25.0,0.0,0.0
83b269fffffffff,35.0,0.0,0.0
83b26bfffffffff,100.0,0.0,0.0
83b26cfffffffff,4.0,0.0,0.0
83b26dfffffffff,27.0,0.0,0.0
83b270fffffffff,4.0,0.0,0.0
83b2c0fffffffff,7.0,0.0,7.0
83b2ddfffffffff,3.0,0.0,0.0
83b2e9fffffffff,2.0,0.0,0.0
83b301fffffffff,4.0,0.0,0.0
83b305fffffffff,6.0,0.0,0.0
83b35afffffffff,5.0,0.0,4.0
83b35cfffffffff,1.0,0.0,1.0
83b35efffffffff,2.0,0.0,2.0
83b36dfffffffff,2.0,0.0,2.0
83c21bfffffffff,3.0,0.0,3.0
83c2c4fffffffff,3.0,0.0,0.0
83c2c5fffffffff,4.0,0.0,3.0
83c2c6fffffffff,4.0,0.0,0.0
83c2c9fffffffff,13.0,0.0,0.0
83c2cafffffffff,2.0,0.0,0.0
83c2cdfffffffff,4.0,0.0,0.0
83c2d4fffffffff,3.0,0.0,0.0
83c2e2fffffffff,2.0,0.0,0.0
83c2e3fffffffff,1.0,0.0,1.0
83c2e9fffffffff,4.0,0.0,0.0
83c2f1fffffffff,2.0,0.0,0.0
83c2f3fffffffff,6.0,0.0,0.0
83c320fffffffff,2.0,0.0,0.0
83c329fffffffff,5.0,0.0,3.0
83c32afffffffff,4.0,0.0,0.0
83c32efffffffff,24.0,0.0,0.0
83c350fffffffff,3.0,0.0,3.0
83c376fffffffff,3.0,0.0,3.0
