cell_id,Troglodytes aedon,Troglodytes aedon [aedon Group],Troglodytes aedon [brunneicollis Group]
830e49fffffffff,6.0,0.0,0.0
830e4dfffffffff,2.0,0.0,0.0
830e80fffffffff,1.0,0.0,0.0
830ec5fffffffff,3.0,0.0,0.0
830ecbfffffffff,2.0,0.0,0.0
831259fffffffff,4.0,0.0,0.0
83125dfffffffff,1.0,0.0,0.0
831289fffffffff,4.0,0.0,0.0
83128bfffffffff,5.0,0.0,0.0
8312adfffffffff,2.0,0.0,0.0
8312c1fffffffff,2.0,0.0,0.0
8312c8fffffffff,4.0,0.0,0.0
8312cbfffffffff,3.0,0.0,0.0
8312ccfffffffff,16.0,4.0,0.0
8312cdfffffffff,3.0,1.0,0.0
8312d1fffffffff,8.0,0.0,0.0
8312d2fffffffff,4.0,4.0,0.0
8312d3fffffffff,3.0,0.0,0.0
8312d4fffffffff,2.0,0.0,0.0
8312d6fffffffff,2.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0
8312dbfffffffff,1.0,0.0,0.0
8312ddfffffffff,11.0,1.0,0.0
8312defffffffff,8.0,2.0,0.0
8312e1fffffffff,7.0,0.0,0.0
8312f2fffffffff,1.0,0.0,0.0
83138cfffffffff,7.0,0.0,0.0
831aa0fffffffff,1.0,0.0,0.0
831aa3fffffffff,5.0,0.0,0.0
832601fffffffff,10.0,5.0,0.0
832602fffffffff,2.0,0.0,0.0
832603fffffffff,1.0,0.0,0.0
832604fffffffff,2.0,0.0,0.0
832605fffffffff,3.0,0.0,0.0
832608fffffffff,20.0,2.0,0.0
83260afffffffff,34.0,28.0,0.0
83260bfffffffff,6.0,0.0,0.0
83260dfffffffff,28.0,0.0,0.0
83260efffffffff,14.0,7.0,0.0
832611fffffffff,4.0,0.0,0.0
832612fffffffff,4.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0
83261afffffffff,3.0,0.0,0.0
832622fffffffff,2.0,0.0,0.0
832623fffffffff,2.0,0.0,0.0
832628fffffffff,2.0,0.0,0.0
832629fffffffff,5.0,0.0,0.0
83262bfffffffff,23.0,0.0,0.0
83262cfffffffff,2.0,0.0,0.0
83262dfffffffff,4.0,0.0,0.0
832640fffffffff,7.0,0.0,0.0
832641fffffffff,6.0,2.0,0.0
832642fffffffff,3.0,0.0,0.0
832643fffffffff,4.0,0.0,0.0
832644fffffffff,2.0,0.0,0.0
832646fffffffff,16.0,0.0,0.0
832648fffffffff,74.0,0.0,0.0
832649fffffffff,10.0,0.0,0.0
83264afffffffff,26.0,0.0,0.0
83264bfffffffff,16.0,0.0,0.0
83264cfffffffff,17.0,5.0,0.0
83264dfffffffff,61.0,6.0,0.0
83264efffffffff,41.0,0.0,0.0
832650fffffffff,3.0,0.0,0.0
832651fffffffff,3.0,3.0,0.0
832652fffffffff,73.0,0.0,0.0
832653fffffffff,12.0,0.0,0.0
832654fffffffff,5.0,0.0,0.0
832655fffffffff,10.0,0.0,0.0
832656fffffffff,9.0,2.0,0.0
832659fffffffff,26.0,14.0,0.0
83265afffffffff,8.0,0.0,0.0
83265bfffffffff,19.0,0.0,0.0
83265cfffffffff,1.0,0.0,0.0
83265dfffffffff,12.0,0.0,0.0
83265efffffffff,4.0,2.0,0.0
832660fffffffff,1.0,0.0,0.0
832661fffffffff,3.0,0.0,0.0
832662fffffffff,4.0,0.0,0.0
832663fffffffff,3.0,0.0,0.0
832664fffffffff,35.0,8.0,0.0
832665fffffffff,3.0,0.0,0.0
832666fffffffff,25.0,0.0,0.0
832668fffffffff,2.0,0.0,0.0
832669fffffffff,5.0,0.0,0.0
83266afffffffff,2.0,0.0,0.0
83266bfffffffff,8.0,0.0,0.0
83266cfffffffff,2.0,0.0,0.0
83266dfffffffff,9.0,0.0,0.0
83266efffffffff,2.0,0.0,0.0
832670fffffffff,4.0,0.0,0.0
832671fffffffff,8.0,0.0,0.0
832674fffffffff,24.0,7.0,0.0
832680fffffffff,22.0,0.0,0.0
832681fffffffff,156.0,4.0,0.0
832682fffffffff,2.0,0.0,0.0
832683fffffffff,7.0,0.0,0.0
832685fffffffff,12.0,0.0,0.0
832686fffffffff,2.0,0.0,0.0
832688fffffffff,74.0,3.0,0.0
832689fffffffff,4.0,2.0,0.0
83268afffffffff,5.0,0.0,0.0
83268bfffffffff,6.0,1.0,0.0
83268cfffffffff,155.0,17.0,0.0
83268dfffffffff,86.0,0.0,0.0
83268efffffffff,6.0,0.0,0.0
832690fffffffff,39.0,5.0,0.0
832691fffffffff,2.0,0.0,0.0
832694fffffffff,7.0,2.0,0.0
832695fffffffff,2.0,0.0,0.0
832696fffffffff,89.0,19.0,0.0
832698fffffffff,9.0,0.0,0.0
832699fffffffff,10.0,0.0,0.0
83269bfffffffff,2.0,0.0,0.0
83269cfffffffff,20.0,0.0,0.0
83269dfffffffff,35.0,2.0,0.0
83269efffffffff,9.0,0.0,0.0
8326a1fffffffff,15.0,0.0,0.0
8326a2fffffffff,2.0,0.0,0.0
8326a3fffffffff,10.0,0.0,0.0
8326a5fffffffff,4.0,0.0,0.0
8326a8fffffffff,16.0,0.0,0.0
8326a9fffffffff,18.0,5.0,0.0
8326aafffffffff,79.0,3.0,0.0
8326abfffffffff,37.0,0.0,0.0
8326aefffffffff,9.0,0.0,0.0
8326b2fffffffff,2.0,0.0,0.0
8326b5fffffffff,2.0,0.0,0.0
8326b6fffffffff,4.0,3.0,0.0
8326c1fffffffff,6.0,0.0,0.0
8326c2fffffffff,1.0,0.0,0.0
8326c8fffffffff,3.0,0.0,0.0
8326cafffffffff,5.0,0.0,0.0
8326d1fffffffff,2.0,2.0,0.0
8326d2fffffffff,1.0,0.0,0.0
8326d3fffffffff,6.0,0.0,0.0
8326d4fffffffff,7.0,0.0,0.0
8326d6fffffffff,9.0,0.0,0.0
8326d8fffffffff,2.0,0.0,0.0
8326d9fffffffff,1.0,0.0,0.0
8326dafffffffff,6.0,0.0,0.0
8326ddfffffffff,5.0,0.0,0.0
8326defffffffff,14.0,0.0,0.0
8326e2fffffffff,8.0,0.0,0.0
8326e3fffffffff,2.0,0.0,0.0
8326e4fffffffff,4.0,0.0,0.0
8326e5fffffffff,11.0,0.0,0.0
8326e9fffffffff,3.0,0.0,0.0
8326edfffffffff,38.0,0.0,0.0
8326f1fffffffff,1.0,0.0,0.0
8326f2fffffffff,51.0,0.0,0.0
8326f5fffffffff,1.0,0.0,0.0
8326f6fffffffff,1.0,0.0,0.0
832700fffffffff,4.0,0.0,0.0
832702fffffffff,13.0,0.0,0.0
832705fffffffff,10.0,0.0,0.0
832708fffffffff,2.0,2.0,0.0
83270efffffffff,4.0,4.0,0.0
832710fffffffff,1.0,1.0,0.0
832711fffffffff,4.0,0.0,0.0
832713fffffffff,2.0,0.0,0.0
83271bfffffffff,2.0,0.0,0.0
83271cfffffffff,7.0,0.0,0.0
832740fffffffff,6.0,2.0,0.0
832741fffffffff,11.0,0.0,0.0
832743fffffffff,9.0,0.0,0.0
832744fffffffff,3.0,0.0,0.0
832745fffffffff,2.0,0.0,0.0
832746fffffffff,7.0,2.0,0.0
832748fffffffff,207.0,2.0,0.0
832749fffffffff,75.0,8.0,0.0
83274afffffffff,11.0,0.0,0.0
83274bfffffffff,14.0,0.0,0.0
83274cfffffffff,13.0,0.0,0.0
83274dfffffffff,97.0,0.0,0.0
83274efffffffff,14.0,1.0,0.0
832751fffffffff,1.0,0.0,0.0
832752fffffffff,1.0,0.0,0.0
832754fffffffff,6.0,0.0,0.0
832755fffffffff,2.0,0.0,0.0
832756fffffffff,6.0,3.0,0.0
832758fffffffff,18.0,0.0,0.0
832759fffffffff,35.0,2.0,0.0
83275afffffffff,2.0,0.0,0.0
83275bfffffffff,11.0,0.0,0.0
83275cfffffffff,7.0,0.0,0.0
83275dfffffffff,15.0,0.0,0.0
83275efffffffff,1.0,0.0,0.0
832763fffffffff,4.0,0.0,0.0
832766fffffffff,2.0,0.0,0.0
832768fffffffff,2.0,0.0,0.0
832769fffffffff,6.0,0.0,0.0
83276afffffffff,3.0,0.0,0.0
83276bfffffffff,33.0,0.0,0.0
83276dfffffffff,2.0,0.0,0.0
832770fffffffff,53.0,0.0,0.0
832771fffffffff,5.0,0.0,0.0
832774fffffffff,2.0,0.0,0.0
832775fffffffff,2.0,0.0,0.0
832780fffffffff,12.0,1.0,0.0
832785fffffffff,2.0,0.0,0.0
832786fffffffff,4.0,0.0,0.0
83278efffffffff,2.0,0.0,0.0
832790fffffffff,9.0,0.0,0.0
832792fffffffff,2.0,0.0,0.0
832793fffffffff,2.0,0.0,0.0
832795fffffffff,7.0,7.0,0.0
832796fffffffff,7.0,0.0,0.0
832799fffffffff,3.0,0.0,0.0
83279cfffffffff,4.0,0.0,0.0
83279dfffffffff,2.0,0.0,0.0
83279efffffffff,9.0,0.0,0.0
8327a0fffffffff,7.0,0.0,0.0
8327a2fffffffff,2.0,0.0,0.0
8327a4fffffffff,4.0,0.0,0.0
8327a6fffffffff,3.0,0.0,0.0
8327aafffffffff,1.0,0.0,0.0
8327aefffffffff,12.0,0.0,0.0
8327b0fffffffff,2.0,0.0,0.0
8327b2fffffffff,4.0,0.0,0.0
8327b3fffffffff,2.0,0.0,0.0
8327b6fffffffff,1.0,0.0,0.0
832802fffffffff,48.0,14.0,0.0
832806fffffffff,16.0,3.0,0.0
832810fffffffff,4.0,0.0,0.0
832811fffffffff,2.0,0.0,0.0
832813fffffffff,6.0,0.0,0.0
832814fffffffff,4.0,0.0,0.0
832815fffffffff,20.0,0.0,0.0
832816fffffffff,2.0,0.0,0.0
832818fffffffff,24.0,0.0,0.0
83281bfffffffff,2.0,0.0,0.0
83281cfffffffff,18.0,4.0,0.0
83281efffffffff,19.0,0.0,0.0
832830fffffffff,320.0,22.0,0.0
832831fffffffff,12.0,0.0,0.0
832832fffffffff,59.0,32.0,0.0
832833fffffffff,16.0,7.0,0.0
832834fffffffff,88.0,14.0,0.0
832835fffffffff,16.0,1.0,0.0
832836fffffffff,2486.0,6.0,0.0
832884fffffffff,143.0,9.0,0.0
832885fffffffff,8.0,0.0,0.0
832888fffffffff,2.0,0.0,0.0
832889fffffffff,14.0,0.0,0.0
83288afffffffff,4.0,0.0,0.0
83288dfffffffff,1.0,0.0,0.0
83288efffffffff,1.0,0.0,0.0
832890fffffffff,6.0,0.0,0.0
832892fffffffff,3.0,0.0,0.0
832893fffffffff,1.0,0.0,0.0
832894fffffffff,16.0,2.0,0.0
832898fffffffff,31.0,10.0,0.0
83289dfffffffff,1.0,0.0,0.0
83289efffffffff,9.0,0.0,0.0
8328a9fffffffff,1.0,0.0,0.0
8328adfffffffff,2.0,2.0,0.0
8328aefffffffff,4.0,0.0,0.0
8328b0fffffffff,2.0,0.0,0.0
8328b1fffffffff,1.0,0.0,0.0
8328b2fffffffff,15.0,0.0,0.0
8328b6fffffffff,5.0,0.0,0.0
8328c2fffffffff,2.0,0.0,0.0
8328c6fffffffff,2.0,0.0,0.0
8328d0fffffffff,3.0,0.0,0.0
8328d1fffffffff,61.0,0.0,0.0
8328d3fffffffff,8.0,0.0,0.0
8328d4fffffffff,51.0,2.0,0.0
8328d5fffffffff,162.0,6.0,0.0
8328d8fffffffff,6.0,0.0,0.0
8328dafffffffff,9.0,0.0,0.0
8328dcfffffffff,3.0,1.0,0.0
8328defffffffff,13.0,2.0,0.0
8328f0fffffffff,41.0,2.0,0.0
8328f1fffffffff,13.0,0.0,0.0
8328f2fffffffff,2.0,0.0,0.0
8328f3fffffffff,32.0,2.0,0.0
8328f4fffffffff,3.0,0.0,0.0
8328f5fffffffff,4.0,3.0,0.0
8328f6fffffffff,3.0,0.0,0.0
832912fffffffff,8.0,1.0,0.0
832913fffffffff,4.0,2.0,0.0
83291afffffffff,16.0,8.0,0.0
832980fffffffff,4.0,0.0,0.0
832982fffffffff,4.0,0.0,0.0
832984fffffffff,19.0,0.0,0.0
832985fffffffff,8.0,0.0,0.0
832989fffffffff,8.0,8.0,0.0
83298afffffffff,1.0,0.0,0.0
83298cfffffffff,33.0,14.0,0.0
83298dfffffffff,5.0,5.0,0.0
832990fffffffff,24.0,2.0,0.0
832991fffffffff,8.0,0.0,0.0
832993fffffffff,2.0,2.0,0.0
832995fffffffff,17.0,2.0,0.0
8329a0fffffffff,90.0,2.0,0.0
8329a1fffffffff,21.0,0.0,0.0
8329a2fffffffff,2.0,0.0,0.0
8329a4fffffffff,29.0,12.0,0.0
8329a5fffffffff,13.0,1.0,0.0
8329a6fffffffff,83.0,3.0,0.0
8329a9fffffffff,25.0,4.0,0.0
8329aafffffffff,6.0,2.0,0.0
8329abfffffffff,17.0,5.0,0.0
8329acfffffffff,2.0,0.0,0.0
8329adfffffffff,6.0,2.0,0.0
8329aefffffffff,12.0,6.0,0.0
8329b0fffffffff,14.0,0.0,0.0
8329b2fffffffff,27.0,0.0,0.0
8329b5fffffffff,31.0,1.0,0.0
8329b6fffffffff,71.0,23.0,0.0
832a06fffffffff,51.0,12.0,0.0
832a10fffffffff,229.0,46.0,0.0
832a12fffffffff,1841.0,21.0,0.0
832a13fffffffff,1999.0,24.0,0.0
832a14fffffffff,48.0,1.0,0.0
832a15fffffffff,25.0,4.0,0.0
832a16fffffffff,34.0,9.0,0.0
832a1efffffffff,6.0,0.0,0.0
832a30fffffffff,79.0,12.0,0.0
832a31fffffffff,125.0,49.0,0.0
832a32fffffffff,65.0,8.0,0.0
832a33fffffffff,150.0,37.0,0.0
832a34fffffffff,39.0,12.0,0.0
