cell_id,Nyctibius jamaicensis,Nyctibius jamaicensis [mexicanus Group],Nyctibius jamaicensis jamaicensis/abbotti
8445053ffffffff,3.0,0.0,0.0
8445057ffffffff,3.0,0.0,0.0
8445083ffffffff,2.0,0.0,0.0
8445215ffffffff,5.0,0.0,0.0
84452a5ffffffff,15.0,0.0,0.0
84452a9ffffffff,6.0,4.0,0.0
84452c3ffffffff,6.0,0.0,0.0
84452e1ffffffff,18.0,0.0,0.0
84452e3ffffffff,40.0,0.0,0.0
84452e5ffffffff,1.0,0.0,0.0
8445b23ffffffff,2.0,0.0,2.0
8448363ffffffff,6.0,2.0,0.0
846725bffffffff,5.0,1.0,0.0
8467367ffffffff,7.0,0.0,7.0
846d053ffffffff,2.0,0.0,0.0
846d159ffffffff,2.0,1.0,0.0
846d291ffffffff,2.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0
846d297ffffffff,1.0,1.0,0.0
846d2c9ffffffff,1.0,0.0,0.0
846d617ffffffff,3.0,3.0,0.0
846d681ffffffff,2.0,2.0,0.0
846d683ffffffff,6.0,0.0,0.0
846d68bffffffff,1.0,0.0,0.0
846d68dffffffff,1.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d697ffffffff,4.0,0.0,0.0
846d6bbffffffff,2.0,0.0,0.0
