cell_id,Fulica ardesiaca,Fulica ardesiaca (White-billed),Fulica ardesiaca (Yellow-billed)
8266c7fffffffff,1.0,0.0,1.0
8266d7fffffffff,1286.0,5.0,9.0
8266dffffffffff,1401.0,0.0,7.0
828b27fffffffff,18.0,0.0,0.0
828b2ffffffffff,293.0,0.0,0.0
828b67fffffffff,2333.0,10.0,28.0
828b6ffffffffff,10.0,0.0,0.0
828e47fffffffff,72.0,0.0,0.0
828e67fffffffff,2958.0,100.0,57.0
828e6ffffffffff,95.0,0.0,0.0
828e77fffffffff,110.0,0.0,0.0
828f0ffffffffff,233.0,0.0,0.0
828f2ffffffffff,677.0,26.0,17.0
828f47fffffffff,2.0,0.0,0.0
828f57fffffffff,556.0,0.0,0.0
828f5ffffffffff,331.0,0.0,0.0
828f77fffffffff,39.0,0.0,1.0
82b20ffffffffff,4.0,0.0,0.0
82b227fffffffff,2.0,0.0,0.0
82b22ffffffffff,42.0,0.0,0.0
82b277fffffffff,131.0,0.0,0.0
82b307fffffffff,847.0,0.0,0.0
82b30ffffffffff,368.0,0.0,0.0
82b31ffffffffff,38.0,0.0,0.0
82b327fffffffff,697.0,0.0,0.0
82b32ffffffffff,126.0,0.0,0.0
82b337fffffffff,340.0,0.0,0.0
82b357fffffffff,748.0,0.0,0.0
82b35ffffffffff,5.0,0.0,0.0
82b377fffffffff,3.0,0.0,0.0
