cell_id,Chloephaga picta,Chloephaga picta (White-breasted),Chloephaga picta (Bar-breasted)
831e03fffffffff,3.0,0.0,0.0
831e22fffffffff,12.0,0.0,0.0
831fa4fffffffff,1.0,0.0,0.0
832834fffffffff,1.0,0.0,0.0
833933fffffffff,204.0,0.0,0.0
83b25dfffffffff,18.0,0.0,0.0
83b2c0fffffffff,6.0,0.0,0.0
83b2c1fffffffff,6.0,0.0,0.0
83b2c5fffffffff,140.0,1.0,9.0
83b2c8fffffffff,3.0,0.0,0.0
83b2cafffffffff,16.0,0.0,0.0
83b2ccfffffffff,16.0,0.0,0.0
83b2cdfffffffff,5.0,0.0,0.0
83b2cefffffffff,2.0,0.0,0.0
83b2d8fffffffff,2.0,0.0,0.0
83b2ddfffffffff,24.0,3.0,0.0
83b2eafffffffff,1.0,0.0,0.0
83b2ecfffffffff,1.0,0.0,0.0
83ce80fffffffff,2.0,0.0,0.0
83ce81fffffffff,2.0,0.0,0.0
83ce82fffffffff,1.0,0.0,0.0
83ce83fffffffff,3.0,0.0,0.0
83ce84fffffffff,2.0,0.0,0.0
83ce8efffffffff,2.0,0.0,0.0
83ce9dfffffffff,1.0,0.0,0.0
83cea0fffffffff,26.0,0.0,0.0
83cea2fffffffff,7.0,0.0,0.0
83cea3fffffffff,11.0,0.0,0.0
83cf12fffffffff,22.0,0.0,0.0
83cf16fffffffff,13.0,0.0,0.0
83cf81fffffffff,2.0,0.0,0.0
83cf85fffffffff,4.0,2.0,0.0
83cf88fffffffff,27.0,0.0,0.0
83cf8afffffffff,8.0,2.0,0.0
83cf8bfffffffff,6.0,0.0,4.0
83cf8cfffffffff,3.0,2.0,0.0
83cf8efffffffff,4.0,4.0,0.0
83cfa0fffffffff,26.0,0.0,0.0
83cfa2fffffffff,29.0,0.0,0.0
83cfa3fffffffff,2.0,0.0,0.0
83cfa4fffffffff,57.0,7.0,21.0
83cfa5fffffffff,2.0,0.0,0.0
83cfaafffffffff,4.0,2.0,2.0
83cfacfffffffff,21.0,1.0,0.0
83cfaefffffffff,6.0,5.0,0.0
83de62fffffffff,5.0,0.0,0.0
83de70fffffffff,2.0,2.0,0.0
83de71fffffffff,1.0,0.0,0.0
83df45fffffffff,8.0,1.0,0.0
83df68fffffffff,10.0,1.0,0.0
83df69fffffffff,75.0,0.0,5.0
83df6afffffffff,2.0,0.0,0.0
83df6bfffffffff,10.0,0.0,0.0
83df6dfffffffff,7.0,3.0,0.0
