cell_id,Xiphorhynchus susurrans,Xiphorhynchus susurrans [nana Group],Xiphorhynchus susurrans [susurrans Group]
824527fffffffff,443.0,0.0,0.0
824537fffffffff,417.0,0.0,0.0
825f4ffffffffff,198.0,0.0,2.0
825f5ffffffffff,1620.0,0.0,1.0
826607fffffffff,85.0,0.0,0.0
82660ffffffffff,495.0,0.0,0.0
826617fffffffff,4069.0,373.0,0.0
82661ffffffffff,2896.0,75.0,0.0
826627fffffffff,1285.0,90.0,0.0
82662ffffffffff,164.0,2.0,0.0
826637fffffffff,44.0,0.0,0.0
826667fffffffff,4.0,0.0,0.0
826677fffffffff,6.0,0.0,0.0
8266a7fffffffff,15009.0,947.0,0.0
8266b7fffffffff,9080.0,8.0,0.0
8266c7fffffffff,11.0,0.0,0.0
8266e7fffffffff,1961.0,27.0,0.0
8266f7fffffffff,1355.0,31.0,0.0
826747fffffffff,530.0,9.0,0.0
82674ffffffffff,1531.0,28.0,0.0
826757fffffffff,246.0,52.0,0.0
82675ffffffffff,253.0,0.0,0.0
82676ffffffffff,6.0,0.0,0.0
826797fffffffff,97.0,0.0,0.0
82679ffffffffff,2825.0,2.0,0.0
8267b7fffffffff,1.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0
826d6ffffffffff,12140.0,0.0,0.0
