cell_id,Artemisiospiza belli,Artemisiospiza belli belli,Artemisiospiza belli canescens,Artemisiospiza belli clementeae,Artemisiospiza belli cinerea
832806fffffffff,5.0,3.0,0.0,0.0,0.0
832815fffffffff,8.0,1.0,0.0,0.0,0.0
832830fffffffff,247.0,56.0,0.0,0.0,0.0
832831fffffffff,188.0,12.0,0.0,0.0,0.0
832832fffffffff,84.0,47.0,0.0,0.0,0.0
832833fffffffff,218.0,33.0,0.0,0.0,0.0
832834fffffffff,97.0,28.0,0.0,0.0,0.0
832836fffffffff,236.0,53.0,0.0,0.0,0.0
832912fffffffff,17.0,1.0,0.0,0.0,0.0
832913fffffffff,6.0,0.0,0.0,0.0,0.0
83291afffffffff,17.0,13.0,0.0,0.0,0.0
832980fffffffff,7.0,0.0,6.0,0.0,0.0
832981fffffffff,22.0,0.0,12.0,0.0,0.0
832984fffffffff,148.0,0.0,49.0,0.0,0.0
832985fffffffff,499.0,0.0,299.0,0.0,0.0
832986fffffffff,131.0,0.0,24.0,0.0,0.0
832989fffffffff,5.0,0.0,0.0,0.0,0.0
83298cfffffffff,164.0,0.0,112.0,0.0,0.0
83298dfffffffff,39.0,8.0,0.0,0.0,0.0
8329a0fffffffff,577.0,138.0,21.0,0.0,0.0
8329a1fffffffff,4733.0,77.0,1425.0,0.0,0.0
8329a2fffffffff,48.0,0.0,18.0,0.0,0.0
8329a3fffffffff,848.0,0.0,311.0,0.0,0.0
8329a4fffffffff,166.0,52.0,0.0,0.0,0.0
8329a5fffffffff,896.0,0.0,0.0,849.0,0.0
8329a6fffffffff,135.0,2.0,33.0,0.0,0.0
8329a8fffffffff,38.0,0.0,11.0,0.0,0.0
8329a9fffffffff,613.0,227.0,45.0,0.0,0.0
8329aafffffffff,318.0,0.0,138.0,0.0,0.0
8329abfffffffff,8.0,0.0,0.0,0.0,0.0
8329acfffffffff,1464.0,66.0,100.0,0.0,0.0
8329adfffffffff,87.0,24.0,0.0,0.0,0.0
8329aefffffffff,2403.0,0.0,1566.0,0.0,0.0
8329b0fffffffff,23.0,0.0,8.0,0.0,0.0
8329b1fffffffff,59.0,0.0,16.0,0.0,0.0
8329b4fffffffff,3.0,0.0,1.0,0.0,0.0
8329b5fffffffff,17.0,0.0,9.0,0.0,0.0
834843fffffffff,51.0,0.0,0.0,0.0,1.0
83484afffffffff,28.0,4.0,0.0,0.0,0.0
834855fffffffff,4.0,0.0,0.0,0.0,3.0
834859fffffffff,178.0,67.0,0.0,0.0,0.0
83485bfffffffff,14.0,0.0,10.0,0.0,0.0
83485dfffffffff,75.0,21.0,0.0,0.0,0.0
834871fffffffff,1.0,0.0,0.0,0.0,1.0
834873fffffffff,94.0,2.0,0.0,0.0,20.0
