cell_id,Cacomantis flabelliformis,Cacomantis flabelliformis [flabelliformis Group],Cacomantis flabelliformis pyrrophanus,Cacomantis flabelliformis schistaceigularis,Cacomantis flabelliformis simus
8472895ffffffff,5.0,0.0,0.0,0.0,0.0
84728b3ffffffff,1.0,0.0,0.0,0.0,0.0
84728b9ffffffff,36.0,0.0,0.0,0.0,0.0
8472a23ffffffff,2.0,0.0,0.0,0.0,0.0
8472a2bffffffff,11.0,0.0,0.0,0.0,0.0
8472d23ffffffff,5.0,0.0,0.0,0.0,0.0
8472d35ffffffff,10.0,0.0,0.0,0.0,0.0
8472d6dffffffff,2.0,0.0,0.0,0.0,0.0
8472d97ffffffff,5.0,0.0,0.0,0.0,0.0
8472da1ffffffff,101.0,0.0,0.0,0.0,0.0
8472da3ffffffff,46.0,0.0,0.0,0.0,0.0
8472da9ffffffff,5.0,0.0,0.0,0.0,0.0
8472db3ffffffff,28.0,0.0,0.0,0.0,0.0
8472db7ffffffff,17.0,0.0,0.0,0.0,0.0
8472f23ffffffff,2.0,0.0,0.0,0.0,0.0
849b41bffffffff,4.0,0.0,0.0,0.0,0.0
849b437ffffffff,1.0,0.0,0.0,0.0,0.0
849b4e5ffffffff,1.0,0.0,0.0,0.0,0.0
849b6a7ffffffff,16.0,0.0,0.0,0.0,0.0
849b6adffffffff,2.0,0.0,0.0,0.0,0.0
849b6bdffffffff,2.0,0.0,0.0,0.0,0.0
849c00bffffffff,1.0,0.0,0.0,0.0,0.0
849c013ffffffff,2.0,0.0,0.0,0.0,0.0
849c055ffffffff,1.0,0.0,0.0,0.0,0.0
849c059ffffffff,2.0,0.0,0.0,0.0,0.0
849c05dffffffff,11.0,0.0,0.0,0.0,0.0
849c0e9ffffffff,4.0,0.0,0.0,0.0,0.0
849c203ffffffff,7.0,0.0,0.0,0.0,0.0
849c20bffffffff,4.0,0.0,0.0,0.0,0.0
849c215ffffffff,85.0,0.0,0.0,0.0,0.0
849c21bffffffff,25.0,0.0,0.0,0.0,0.0
849c231ffffffff,100.0,0.0,0.0,0.0,0.0
849c233ffffffff,8.0,0.0,0.0,0.0,0.0
849c235ffffffff,2.0,0.0,0.0,0.0,0.0
849c237ffffffff,77.0,0.0,0.0,0.0,0.0
849c239ffffffff,174.0,0.0,0.0,0.0,0.0
849c23bffffffff,27.0,0.0,0.0,0.0,0.0
849c23dffffffff,1.0,0.0,0.0,0.0,0.0
849c251ffffffff,3.0,0.0,0.0,0.0,0.0
849c259ffffffff,36.0,0.0,0.0,0.0,0.0
849c25dffffffff,3.0,0.0,0.0,0.0,0.0
849c851ffffffff,1.0,0.0,0.0,0.0,0.0
849c8a3ffffffff,2.0,0.0,0.0,0.0,0.0
849c8bdffffffff,5.0,0.0,0.0,0.0,0.0
849c9d1ffffffff,80.0,0.0,0.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0,0.0,0.0
849c9ddffffffff,4.0,0.0,0.0,0.0,0.0
849ca65ffffffff,2.0,0.0,0.0,0.0,0.0
849caadffffffff,1.0,0.0,0.0,0.0,0.0
849cc29ffffffff,1.0,0.0,0.0,0.0,0.0
849cd2dffffffff,24.0,0.0,0.0,0.0,0.0
849cf53ffffffff,5.0,0.0,0.0,0.0,0.0
849d013ffffffff,25.0,0.0,0.0,0.0,0.0
849d01bffffffff,14.0,0.0,0.0,0.0,0.0
849d0b1ffffffff,5.0,0.0,0.0,0.0,0.0
849d0b3ffffffff,7.0,0.0,0.0,0.0,0.0
849d0b5ffffffff,17.0,0.0,0.0,0.0,0.0
849d0b7ffffffff,3.0,0.0,0.0,0.0,0.0
849d0bdffffffff,2.0,0.0,0.0,0.0,0.0
849d0c1ffffffff,2.0,0.0,0.0,0.0,0.0
849d0c5ffffffff,8.0,0.0,0.0,0.0,0.0
849d0c7ffffffff,2.0,0.0,0.0,0.0,0.0
849d0c9ffffffff,1.0,0.0,0.0,0.0,0.0
849d0cdffffffff,67.0,0.0,0.0,0.0,0.0
849d0e1ffffffff,2.0,0.0,0.0,0.0,0.0
849d0e9ffffffff,3.0,0.0,0.0,0.0,0.0
849d0edffffffff,2.0,0.0,0.0,0.0,0.0
849d211ffffffff,4.0,0.0,0.0,0.0,0.0
849d213ffffffff,3.0,0.0,0.0,0.0,0.0
849d215ffffffff,4.0,0.0,0.0,0.0,0.0
849d217ffffffff,3.0,0.0,0.0,0.0,0.0
849d219ffffffff,10.0,0.0,0.0,0.0,0.0
849d21dffffffff,29.0,0.0,0.0,0.0,0.0
849d23bffffffff,7.0,0.0,0.0,0.0,0.0
849d24bffffffff,4.0,0.0,0.0,0.0,0.0
849d251ffffffff,4.0,0.0,0.0,0.0,0.0
849d253ffffffff,20.0,0.0,0.0,0.0,0.0
