cell_id,Cyclopsitta desmarestii,Cyclopsitta desmarestii [desmarestii Group],Cyclopsitta desmarestii godmani,Cyclopsitta desmarestii cervicalis
84729dbffffffff,23.0,0.0,0.0,0.0
8472a2bffffffff,1.0,0.0,0.0,0.0
8472b07ffffffff,2.0,0.0,0.0,0.0
8472d23ffffffff,7.0,0.0,0.0,0.0
8472f23ffffffff,1.0,0.0,0.0,0.0
8473985ffffffff,1.0,0.0,0.0,0.0
84739b1ffffffff,107.0,0.0,0.0,0.0
84739b5ffffffff,23.0,0.0,0.0,0.0
849c85bffffffff,2.0,0.0,0.0,0.0
849c8bdffffffff,1.0,0.0,0.0,0.0
849c8e9ffffffff,1.0,0.0,0.0,0.0
849cd31ffffffff,102.0,0.0,0.0,0.0
849cd33ffffffff,2.0,0.0,0.0,0.0
