cell_id,Curruca mystacea,Curruca mystacea mystacea,Curruca mystacea rubescens/turcmenica
822017fffffffff,2.0,0.0,2.0
8220b7fffffffff,9.0,0.0,0.0
822c07fffffffff,4.0,0.0,0.0
822c0ffffffffff,2.0,0.0,0.0
822c17fffffffff,1.0,0.0,0.0
822c97fffffffff,11.0,0.0,1.0
822ce7fffffffff,1.0,0.0,0.0
822da7fffffffff,6.0,0.0,0.0
822daffffffffff,20.0,0.0,1.0
822db7fffffffff,3.0,0.0,0.0
823e47fffffffff,2.0,0.0,0.0
823e6ffffffffff,38.0,0.0,1.0
8243a7fffffffff,9.0,0.0,0.0
8243affffffffff,1.0,1.0,0.0
825367fffffffff,1.0,0.0,1.0
