cell_id,Fulica ardesiaca,Fulica ardesiaca (White-billed),Fulica ardesiaca (Yellow-billed)
8466c25ffffffff,5.0,1.0,2.0
8466d1dffffffff,20.0,0.0,0.0
8466d33ffffffff,10.0,4.0,0.0
8466d3bffffffff,4.0,2.0,2.0
8466d53ffffffff,2.0,0.0,0.0
8466de5ffffffff,14.0,8.0,4.0
848b22dffffffff,3.0,0.0,0.0
848b61bffffffff,6.0,0.0,0.0
848e62dffffffff,9.0,4.0,3.0
848e66bffffffff,1.0,0.0,0.0
848e6c3ffffffff,9.0,5.0,4.0
848e6ddffffffff,4.0,2.0,2.0
848e759ffffffff,21.0,0.0,1.0
848f0bbffffffff,3.0,0.0,0.0
848f0d7ffffffff,6.0,0.0,0.0
848f0ddffffffff,2.0,0.0,0.0
848f299ffffffff,14.0,1.0,1.0
848f2a1ffffffff,1.0,0.0,0.0
848f2a7ffffffff,2.0,0.0,0.0
848f2abffffffff,1.0,0.0,0.0
848f2d9ffffffff,1.0,1.0,0.0
848f2e3ffffffff,20.0,0.0,0.0
848f2ebffffffff,15.0,0.0,0.0
848f501ffffffff,8.0,0.0,0.0
848f505ffffffff,5.0,0.0,0.0
848f5c3ffffffff,7.0,0.0,0.0
848f76dffffffff,1.0,1.0,0.0
84b2015ffffffff,5.0,0.0,0.0
84b2037ffffffff,10.0,0.0,0.0
84b2039ffffffff,4.0,0.0,0.0
84b2051ffffffff,2.0,0.0,0.0
84b2191ffffffff,10.0,0.0,0.0
84b21dbffffffff,1.0,0.0,0.0
84b22b5ffffffff,1.0,0.0,0.0
84b25c1ffffffff,4.0,0.0,0.0
84b2c47ffffffff,2.0,0.0,0.0
84b2c5dffffffff,2.0,0.0,0.0
84b3059ffffffff,3.0,0.0,0.0
84b3087ffffffff,8.0,0.0,0.0
84b3201ffffffff,2.0,0.0,0.0
84b3203ffffffff,2.0,0.0,0.0
84b3209ffffffff,6.0,0.0,0.0
84b320bffffffff,9.0,0.0,0.0
84b3289ffffffff,2.0,0.0,0.0
84b3303ffffffff,4.0,0.0,0.0
84b3423ffffffff,3.0,0.0,0.0
84b3511ffffffff,8.0,0.0,0.0
84b3513ffffffff,2.0,0.0,0.0
84b3515ffffffff,16.0,0.0,0.0
84b351bffffffff,3.0,0.0,0.0
84b3531ffffffff,2.0,0.0,0.0
84b3545ffffffff,2.0,0.0,0.0
84b354bffffffff,25.0,0.0,0.0
84b355bffffffff,2.0,0.0,0.0
84b35a9ffffffff,4.0,0.0,0.0
84b35e3ffffffff,2.0,0.0,0.0
