cell_id,Hylocitrea bonensis,Hylocitrea bonensis bonensis,Hylocitrea bonensis bonthaina
8468ca9ffffffff,1.0,0.0,0.0
8468d05ffffffff,1.0,0.0,0.0
8468d2bffffffff,163.0,37.0,0.0
849500bffffffff,3.0,0.0,2.0
8495285ffffffff,1.0,0.0,0.0
