cell_id,Thinornis tricollaris,Thinornis tricollaris tricollaris,Thinornis tricollaris bifrontatus
825287fffffffff,8.0,0.0,0.0
82528ffffffffff,2.0,0.0,0.0
82529ffffffffff,130.0,0.0,0.0
8252d7fffffffff,1.0,0.0,0.0
8258cffffffffff,5.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0
826a6ffffffffff,4.0,0.0,0.0
826ac7fffffffff,219.0,6.0,0.0
826acffffffffff,61.0,0.0,0.0
826adffffffffff,118.0,0.0,0.0
826aeffffffffff,2.0,0.0,0.0
826bb7fffffffff,1.0,0.0,0.0
827a47fffffffff,482.0,0.0,0.0
827a4ffffffffff,27.0,0.0,0.0
827a67fffffffff,462.0,9.0,0.0
827a6ffffffffff,1926.0,31.0,0.0
827acffffffffff,197.0,0.0,0.0
827adffffffffff,34.0,0.0,0.0
827aeffffffffff,12.0,0.0,0.0
827b4ffffffffff,12.0,0.0,0.0
827b5ffffffffff,112.0,0.0,0.0
827b6ffffffffff,34.0,0.0,0.0
82821ffffffffff,3.0,0.0,0.0
828307fffffffff,8.0,1.0,0.0
828317fffffffff,2.0,0.0,0.0
82831ffffffffff,8.0,1.0,0.0
828327fffffffff,5.0,3.0,0.0
828337fffffffff,2.0,2.0,0.0
829607fffffffff,19.0,2.0,0.0
829617fffffffff,6.0,0.0,0.0
829627fffffffff,122.0,13.0,0.0
82962ffffffffff,43.0,10.0,0.0
829637fffffffff,86.0,11.0,0.0
829677fffffffff,6.0,0.0,0.0
829687fffffffff,3.0,0.0,0.0
829697fffffffff,766.0,59.0,0.0
82969ffffffffff,8.0,0.0,0.0
8296a7fffffffff,34.0,1.0,0.0
8296affffffffff,2.0,2.0,0.0
8296b7fffffffff,100.0,1.0,0.0
829707fffffffff,25.0,0.0,0.0
82970ffffffffff,26.0,0.0,0.0
829717fffffffff,85.0,0.0,0.0
82971ffffffffff,23.0,0.0,0.0
829727fffffffff,13.0,0.0,0.0
82972ffffffffff,738.0,195.0,0.0
829737fffffffff,15.0,0.0,0.0
829747fffffffff,122.0,7.0,0.0
82974ffffffffff,284.0,52.0,0.0
829757fffffffff,223.0,38.0,0.0
82975ffffffffff,215.0,10.0,0.0
829767fffffffff,2.0,0.0,0.0
82976ffffffffff,5.0,0.0,0.0
829777fffffffff,16.0,0.0,0.0
829787fffffffff,2.0,0.0,0.0
82978ffffffffff,4.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,11.0,0.0,0.0
82a217fffffffff,24.0,0.0,8.0
82a227fffffffff,5.0,0.0,5.0
82a237fffffffff,30.0,0.0,6.0
82a2affffffffff,2.0,0.0,0.0
82a30ffffffffff,1.0,0.0,0.0
82a31ffffffffff,90.0,0.0,17.0
82a377fffffffff,3.0,0.0,0.0
82a38ffffffffff,27.0,0.0,9.0
82a39ffffffffff,170.0,0.0,56.0
82a3affffffffff,2.0,0.0,0.0
82ac17fffffffff,83.0,8.0,0.0
82ac87fffffffff,445.0,46.0,0.0
82ac8ffffffffff,53.0,0.0,0.0
82ac97fffffffff,78.0,2.0,0.0
82ac9ffffffffff,4.0,0.0,0.0
82aca7fffffffff,406.0,51.0,0.0
82acaffffffffff,24.0,8.0,0.0
82acb7fffffffff,2.0,0.0,0.0
82ad17fffffffff,4.0,0.0,0.0
82ad37fffffffff,870.0,182.0,0.0
82ad87fffffffff,3.0,0.0,0.0
82ad8ffffffffff,5.0,0.0,0.0
82ad9ffffffffff,2.0,0.0,0.0
82ada7fffffffff,59.0,3.0,0.0
82adaffffffffff,24.0,5.0,0.0
82adb7fffffffff,7.0,0.0,0.0
82bc0ffffffffff,14.0,1.0,0.0
82bc1ffffffffff,8.0,0.0,0.0
82bc47fffffffff,115.0,15.0,0.0
82bc4ffffffffff,192.0,23.0,0.0
82bc57fffffffff,28.0,1.0,0.0
82bc5ffffffffff,3.0,0.0,0.0
82bc6ffffffffff,229.0,40.0,0.0
82bc77fffffffff,123.0,2.0,0.0
82bc8ffffffffff,324.0,20.0,0.0
82bc9ffffffffff,6.0,0.0,0.0
82bcc7fffffffff,492.0,54.0,0.0
82bccffffffffff,19.0,0.0,0.0
82bcd7fffffffff,2462.0,472.0,0.0
82bcdffffffffff,354.0,43.0,0.0
82bce7fffffffff,72.0,11.0,0.0
82bceffffffffff,68.0,2.0,0.0
82bcf7fffffffff,1441.0,211.0,0.0
