cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
8326b0fffffffff,2.0,0.0,0.0
8326c1fffffffff,16.0,0.0,0.0
8326c3fffffffff,1.0,0.0,0.0
8326c4fffffffff,1.0,0.0,0.0
8326c5fffffffff,6.0,2.0,0.0
8326c8fffffffff,19.0,0.0,0.0
8326c9fffffffff,3.0,0.0,0.0
8326cbfffffffff,37.0,4.0,0.0
8326d1fffffffff,2.0,2.0,0.0
8326d3fffffffff,4.0,3.0,0.0
8326d4fffffffff,6.0,1.0,0.0
8326d6fffffffff,5.0,5.0,0.0
8326defffffffff,7.0,2.0,0.0
8326e1fffffffff,9.0,0.0,0.0
8326e2fffffffff,24.0,6.0,0.0
8326e3fffffffff,9.0,0.0,0.0
8326e4fffffffff,1.0,1.0,0.0
8326e5fffffffff,21.0,0.0,0.0
8326e6fffffffff,8.0,1.0,0.0
8326e9fffffffff,2.0,0.0,0.0
8326eafffffffff,2.0,2.0,0.0
8326ecfffffffff,1.0,0.0,0.0
8326edfffffffff,5.0,0.0,0.0
8326eefffffffff,2.0,2.0,0.0
8326f0fffffffff,10.0,0.0,0.0
8326f2fffffffff,24.0,5.0,0.0
8326f5fffffffff,1.0,0.0,0.0
8326f6fffffffff,3.0,3.0,0.0
832702fffffffff,8.0,2.0,0.0
83270efffffffff,2.0,2.0,0.0
832716fffffffff,2.0,0.0,0.0
832718fffffffff,4.0,0.0,0.0
832719fffffffff,7.0,0.0,0.0
83271bfffffffff,2.0,0.0,0.0
832740fffffffff,14.0,7.0,0.0
832741fffffffff,11.0,0.0,0.0
832742fffffffff,7.0,2.0,0.0
832743fffffffff,3.0,0.0,0.0
832744fffffffff,2.0,2.0,0.0
832745fffffffff,5.0,0.0,0.0
832746fffffffff,1.0,0.0,0.0
832748fffffffff,50.0,3.0,0.0
832749fffffffff,42.0,7.0,0.0
83274afffffffff,8.0,2.0,0.0
83274bfffffffff,17.0,0.0,0.0
83274dfffffffff,20.0,2.0,0.0
83274efffffffff,25.0,0.0,0.0
832750fffffffff,1.0,0.0,0.0
832751fffffffff,1.0,0.0,0.0
832752fffffffff,28.0,8.0,1.0
832754fffffffff,22.0,6.0,0.0
832755fffffffff,8.0,0.0,0.0
832756fffffffff,58.0,46.0,0.0
832758fffffffff,10.0,4.0,0.0
832759fffffffff,71.0,2.0,0.0
83275afffffffff,7.0,0.0,0.0
83275bfffffffff,17.0,1.0,0.0
83275cfffffffff,10.0,0.0,0.0
83275dfffffffff,57.0,3.0,0.0
83275efffffffff,4.0,0.0,0.0
832763fffffffff,17.0,2.0,1.0
832769fffffffff,31.0,6.0,0.0
83276afffffffff,59.0,20.0,0.0
83276bfffffffff,43.0,2.0,0.0
83276dfffffffff,22.0,8.0,2.0
83276efffffffff,1.0,0.0,0.0
832770fffffffff,10.0,7.0,0.0
832771fffffffff,9.0,7.0,0.0
832772fffffffff,2.0,0.0,0.0
832773fffffffff,2.0,2.0,0.0
832780fffffffff,4.0,3.0,0.0
832785fffffffff,2.0,0.0,0.0
83278bfffffffff,1.0,0.0,0.0
83278efffffffff,4.0,4.0,0.0
832792fffffffff,9.0,0.0,0.0
832796fffffffff,8.0,2.0,0.0
832799fffffffff,2.0,2.0,0.0
8327a0fffffffff,9.0,0.0,0.0
8327a4fffffffff,9.0,0.0,0.0
8327a6fffffffff,2.0,2.0,0.0
8327a8fffffffff,6.0,0.0,0.0
8327adfffffffff,3.0,2.0,0.0
8327aefffffffff,6.0,1.0,0.0
8327b2fffffffff,1.0,0.0,0.0
8327b3fffffffff,1.0,1.0,0.0
832800fffffffff,25.0,9.0,0.0
832802fffffffff,461.0,249.0,0.0
832803fffffffff,6.0,2.0,0.0
832806fffffffff,4.0,2.0,0.0
832818fffffffff,2.0,2.0,0.0
832819fffffffff,1.0,0.0,0.0
83281bfffffffff,20.0,7.0,0.0
83281cfffffffff,27.0,8.0,0.0
83281efffffffff,7.0,2.0,0.0
832830fffffffff,261.0,65.0,0.0
832831fffffffff,8.0,1.0,0.0
832832fffffffff,45.0,4.0,0.0
832833fffffffff,5.0,0.0,0.0
832834fffffffff,482.0,156.0,0.0
832835fffffffff,53.0,32.0,1.0
832836fffffffff,13.0,6.0,0.0
832884fffffffff,12.0,2.0,0.0
832888fffffffff,3.0,0.0,0.0
832892fffffffff,2.0,0.0,0.0
832893fffffffff,2.0,0.0,0.0
832898fffffffff,4.0,0.0,0.0
83289afffffffff,1.0,0.0,0.0
83289bfffffffff,2.0,0.0,0.0
83289dfffffffff,2.0,0.0,0.0
83289efffffffff,2.0,0.0,0.0
8328a9fffffffff,3.0,0.0,0.0
8328adfffffffff,3.0,0.0,3.0
8328aefffffffff,5.0,0.0,0.0
8328b0fffffffff,2.0,0.0,0.0
8328c2fffffffff,12.0,8.0,0.0
8328c6fffffffff,63.0,18.0,0.0
8328d0fffffffff,4.0,0.0,0.0
8328d1fffffffff,169.0,28.0,0.0
8328d5fffffffff,97.0,21.0,0.0
8328d6fffffffff,4.0,0.0,0.0
8328d8fffffffff,44.0,0.0,0.0
8328d9fffffffff,2.0,0.0,0.0
8328dcfffffffff,393.0,188.0,0.0
8328ddfffffffff,19.0,10.0,0.0
8328defffffffff,68.0,5.0,0.0
8328f0fffffffff,26.0,3.0,0.0
8328f1fffffffff,22.0,8.0,0.0
8328f3fffffffff,12.0,8.0,0.0
8328f4fffffffff,39.0,4.0,0.0
8328f5fffffffff,5.0,0.0,0.0
832912fffffffff,166.0,52.0,0.0
832913fffffffff,28.0,5.0,0.0
832916fffffffff,8.0,6.0,0.0
83291afffffffff,48.0,23.0,0.0
