cell_id,Basileuterus culicivorus,Basileuterus culicivorus [culicivorus Group],Basileuterus culicivorus [cabanisi Group],Basileuterus culicivorus [auricapilla Group],Basileuterus culicivorus hypoleucus
82450ffffffffff,10.0,0.0,0.0,0.0,0.0
824527fffffffff,605.0,8.0,0.0,0.0,0.0
82452ffffffffff,4084.0,54.0,0.0,0.0,0.0
824537fffffffff,216.0,0.0,0.0,0.0,0.0
824837fffffffff,229.0,0.0,0.0,0.0,0.0
8248a7fffffffff,527.0,0.0,0.0,0.0,0.0
824987fffffffff,1.0,0.0,0.0,0.0,0.0
824997fffffffff,2609.0,833.0,0.0,0.0,0.0
82499ffffffffff,650.0,16.0,0.0,0.0,0.0
8249affffffffff,110.0,0.0,0.0,0.0,0.0
8249b7fffffffff,131.0,7.0,0.0,0.0,0.0
825f2ffffffffff,15.0,0.0,0.0,0.0,0.0
825f47fffffffff,7.0,0.0,0.0,0.0,0.0
825f4ffffffffff,86.0,0.0,0.0,0.0,0.0
825f5ffffffffff,421.0,0.0,0.0,0.0,0.0
825f77fffffffff,7.0,0.0,0.0,0.0,0.0
826607fffffffff,50.0,0.0,0.0,0.0,0.0
82660ffffffffff,638.0,0.0,0.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,2529.0,0.0,23.0,0.0,0.0
826627fffffffff,547.0,0.0,46.0,0.0,0.0
82662ffffffffff,288.0,0.0,0.0,0.0,0.0
826657fffffffff,15.0,0.0,0.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0,0.0,0.0
8266a7fffffffff,138.0,9.0,0.0,0.0,0.0
8266b7fffffffff,4440.0,40.0,0.0,0.0,0.0
8266c7fffffffff,118.0,0.0,0.0,0.0,0.0
8266d7fffffffff,36.0,0.0,0.0,0.0,0.0
8266e7fffffffff,2823.0,0.0,37.0,0.0,0.0
8266f7fffffffff,1044.0,0.0,10.0,0.0,0.0
826747fffffffff,314.0,0.0,0.0,0.0,0.0
82674ffffffffff,956.0,0.0,16.0,0.0,0.0
826757fffffffff,245.0,0.0,0.0,0.0,0.0
82675ffffffffff,169.0,0.0,0.0,0.0,0.0
826797fffffffff,30.0,0.0,0.0,0.0,0.0
82679ffffffffff,31.0,0.0,0.0,0.0,0.0
826d07fffffffff,140.0,7.0,0.0,0.0,0.0
826d17fffffffff,507.0,43.0,0.0,0.0,0.0
826d27fffffffff,694.0,130.0,0.0,0.0,0.0
826d2ffffffffff,2968.0,588.0,0.0,0.0,0.0
826d37fffffffff,1008.0,122.0,0.0,0.0,0.0
826d67fffffffff,1409.0,0.0,0.0,0.0,0.0
826d6ffffffffff,7463.0,0.0,0.0,0.0,0.0
826d77fffffffff,36.0,0.0,0.0,0.0,0.0
828007fffffffff,36.0,0.0,0.0,0.0,0.0
828017fffffffff,363.0,0.0,0.0,20.0,0.0
828037fffffffff,137.0,0.0,0.0,15.0,0.0
828107fffffffff,229.0,0.0,0.0,0.0,0.0
82810ffffffffff,6.0,0.0,0.0,0.0,0.0
828117fffffffff,7.0,0.0,0.0,0.0,0.0
82811ffffffffff,31.0,0.0,0.0,0.0,0.0
828127fffffffff,325.0,0.0,0.0,37.0,4.0
82812ffffffffff,71.0,0.0,0.0,0.0,37.0
828137fffffffff,498.0,0.0,0.0,1.0,0.0
828147fffffffff,169.0,0.0,0.0,0.0,48.0
82814ffffffffff,14.0,0.0,0.0,0.0,0.0
828157fffffffff,2.0,0.0,0.0,0.0,0.0
82815ffffffffff,12.0,0.0,0.0,0.0,0.0
828167fffffffff,4.0,0.0,0.0,0.0,2.0
828177fffffffff,208.0,0.0,0.0,0.0,72.0
828187fffffffff,204.0,0.0,0.0,4.0,0.0
82818ffffffffff,42.0,0.0,0.0,0.0,0.0
82819ffffffffff,4.0,0.0,0.0,0.0,0.0
8281affffffffff,9.0,0.0,0.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0,0.0,0.0
828b07fffffffff,3.0,0.0,0.0,0.0,0.0
828b0ffffffffff,22.0,0.0,0.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0,0.0,0.0
828b27fffffffff,134.0,0.0,0.0,2.0,2.0
828b2ffffffffff,42.0,0.0,0.0,4.0,0.0
828b37fffffffff,27.0,0.0,0.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0,0.0,0.0
828b87fffffffff,19.0,0.0,0.0,0.0,0.0
828b9ffffffffff,20.0,0.0,0.0,0.0,0.0
828ba7fffffffff,43.0,0.0,0.0,0.0,16.0
828bb7fffffffff,769.0,0.0,0.0,0.0,532.0
82a597fffffffff,1.0,0.0,0.0,0.0,0.0
82a807fffffffff,1786.0,0.0,0.0,243.0,5.0
82a80ffffffffff,44.0,0.0,0.0,0.0,0.0
82a817fffffffff,10284.0,0.0,0.0,489.0,217.0
82a81ffffffffff,2825.0,0.0,0.0,0.0,777.0
82a827fffffffff,477.0,0.0,0.0,11.0,0.0
82a82ffffffffff,243.0,0.0,0.0,0.0,0.0
82a837fffffffff,1647.0,0.0,0.0,68.0,0.0
82a847fffffffff,194.0,0.0,0.0,1.0,79.0
82a84ffffffffff,9.0,0.0,0.0,0.0,5.0
82a857fffffffff,74.0,0.0,0.0,0.0,29.0
82a85ffffffffff,241.0,0.0,0.0,0.0,175.0
82a867fffffffff,149.0,0.0,0.0,0.0,21.0
82a877fffffffff,49.0,0.0,0.0,0.0,8.0
82a887fffffffff,1202.0,0.0,0.0,2.0,117.0
82a88ffffffffff,237.0,0.0,0.0,0.0,73.0
82a897fffffffff,108.0,0.0,0.0,0.0,0.0
82a8a7fffffffff,3246.0,0.0,0.0,5.0,92.0
82a8affffffffff,1318.0,0.0,0.0,43.0,194.0
82a8c7fffffffff,246.0,0.0,0.0,0.0,105.0
82a8cffffffffff,14.0,0.0,0.0,0.0,12.0
82a8d7fffffffff,562.0,0.0,0.0,0.0,184.0
82a8dffffffffff,201.0,0.0,0.0,0.0,125.0
82a8e7fffffffff,13.0,0.0,0.0,0.0,2.0
82a8effffffffff,26.0,0.0,0.0,0.0,17.0
82a8f7fffffffff,67.0,0.0,0.0,0.0,14.0
82a907fffffffff,211.0,0.0,0.0,0.0,0.0
82a90ffffffffff,461.0,0.0,0.0,0.0,0.0
82a91ffffffffff,761.0,0.0,0.0,11.0,0.0
