cell_id,Calendulauda sabota,Calendulauda sabota [naevia Group],Calendulauda sabota [sabota Group]
839729fffffffff,4.0,0.0,4.0
83ac80fffffffff,3.0,3.0,0.0
83ac82fffffffff,3.0,0.0,0.0
83ac86fffffffff,2.0,2.0,0.0
83acaefffffffff,1.0,0.0,1.0
83ada0fffffffff,5.0,5.0,0.0
83ada4fffffffff,13.0,11.0,0.0
83ada6fffffffff,1.0,1.0,0.0
83adb4fffffffff,1.0,1.0,0.0
83adb5fffffffff,2.0,2.0,0.0
83bc43fffffffff,3.0,0.0,0.0
83bc5bfffffffff,1.0,1.0,0.0
83bcd0fffffffff,2.0,0.0,2.0
83bcd2fffffffff,9.0,0.0,3.0
83bcd6fffffffff,1.0,0.0,1.0
83bcdcfffffffff,9.0,0.0,0.0
83bcddfffffffff,2.0,0.0,0.0
83bce9fffffffff,5.0,5.0,0.0
