cell_id,Lonchura atricapilla,Lonchura atricapilla [atricapilla Group],Lonchura atricapilla formosana
833915fffffffff,2.0,0.0,0.0
833c15fffffffff,4.0,0.0,0.0
833c19fffffffff,1.0,0.0,0.0
833c58fffffffff,3.0,0.0,0.0
833ca8fffffffff,2.0,0.0,0.0
833cc6fffffffff,3.0,0.0,0.0
833ce1fffffffff,6.0,1.0,0.0
833ce5fffffffff,1.0,0.0,0.0
833ce9fffffffff,1.0,0.0,0.0
833cf1fffffffff,29.0,0.0,0.0
833cf2fffffffff,4.0,0.0,0.0
833cf6fffffffff,9.0,0.0,0.0
833da1fffffffff,1.0,0.0,0.0
833dacfffffffff,6.0,0.0,0.0
834049fffffffff,4.0,0.0,0.0
83404cfffffffff,11.0,0.0,0.0
834061fffffffff,2.0,0.0,0.0
83411cfffffffff,126.0,5.0,0.0
8342ccfffffffff,5.0,0.0,0.0
834649fffffffff,1.0,0.0,0.0
83464efffffffff,2.0,0.0,0.0
834b84fffffffff,26.0,0.0,3.0
834ba0fffffffff,9.0,0.0,0.0
834ba1fffffffff,56.0,0.0,2.0
834ba2fffffffff,18.0,0.0,0.0
834ba3fffffffff,119.0,0.0,0.0
834ba6fffffffff,9.0,0.0,2.0
835d11fffffffff,21.0,0.0,0.0
835d14fffffffff,11.0,0.0,0.0
835d16fffffffff,10.0,0.0,0.0
836490fffffffff,9.0,4.0,0.0
8364a4fffffffff,1.0,0.0,0.0
836501fffffffff,20.0,0.0,0.0
836503fffffffff,29.0,0.0,0.0
836505fffffffff,2.0,0.0,0.0
836518fffffffff,41.0,0.0,0.0
836519fffffffff,1.0,0.0,0.0
83651dfffffffff,74.0,0.0,0.0
836520fffffffff,53.0,0.0,0.0
836522fffffffff,3.0,0.0,0.0
836523fffffffff,1.0,0.0,0.0
836526fffffffff,27.0,0.0,0.0
836531fffffffff,4.0,0.0,0.0
836582fffffffff,5.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
836619fffffffff,21.0,0.0,0.0
83661dfffffffff,1.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c6fffffffff,7.0,0.0,0.0
8366e6fffffffff,11.0,0.0,0.0
8366f1fffffffff,70.0,0.0,0.0
836732fffffffff,3.0,0.0,0.0
836802fffffffff,3.0,2.0,0.0
836810fffffffff,4.0,4.0,0.0
836811fffffffff,2.0,0.0,0.0
836815fffffffff,2.0,2.0,0.0
836818fffffffff,2.0,2.0,0.0
83684efffffffff,1.0,0.0,0.0
836858fffffffff,1.0,0.0,0.0
8368d2fffffffff,3.0,3.0,0.0
83694efffffffff,3.0,0.0,0.0
83696afffffffff,1.0,0.0,1.0
838cdcfffffffff,2.0,0.0,0.0
838f2bfffffffff,1.0,0.0,0.0
839e02fffffffff,7.0,0.0,0.0
839e06fffffffff,2.0,0.0,0.0
