cell_id,Psilopogon haemacephalus,Psilopogon haemacephalus indicus/delicus,Psilopogon haemacephalus roseus,Psilopogon haemacephalus [haemacephalus Group],Psilopogon haemacephalus [intermedius Group]
84209a5ffffffff,302.0,0.0,0.0,0.0,0.0
843c021ffffffff,1.0,0.0,0.0,0.0,0.0
843c029ffffffff,90.0,0.0,0.0,0.0,0.0
843c02dffffffff,22.0,0.0,0.0,0.0,0.0
843c065ffffffff,2.0,0.0,0.0,0.0,0.0
843c067ffffffff,2.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,8.0,0.0,0.0,0.0,0.0
843c0b7ffffffff,2.0,0.0,0.0,0.0,0.0
843c131ffffffff,2.0,0.0,0.0,0.0,0.0
843c137ffffffff,9.0,0.0,0.0,0.0,0.0
843c139ffffffff,9.0,0.0,0.0,0.0,0.0
843c141ffffffff,1.0,0.0,0.0,0.0,0.0
843c151ffffffff,2.0,0.0,0.0,0.0,0.0
843c153ffffffff,2.0,0.0,0.0,0.0,0.0
843c159ffffffff,88.0,0.0,0.0,0.0,0.0
843c165ffffffff,52.0,0.0,0.0,0.0,0.0
843c189ffffffff,4.0,0.0,0.0,0.0,0.0
843c191ffffffff,15.0,0.0,0.0,0.0,0.0
843c199ffffffff,55.0,0.0,0.0,0.0,0.0
843c19bffffffff,9.0,0.0,0.0,0.0,0.0
843c1a9ffffffff,5.0,0.0,0.0,0.0,0.0
843c1b1ffffffff,1.0,0.0,0.0,0.0,0.0
843c1b5ffffffff,27.0,0.0,0.0,0.0,0.0
843c1b9ffffffff,3.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,112.0,0.0,0.0,0.0,0.0
843c1c7ffffffff,4.0,0.0,0.0,0.0,0.0
843c1c9ffffffff,8.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,2.0,0.0,0.0,0.0,0.0
843c1d5ffffffff,2.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,14.0,0.0,0.0,0.0,0.0
843c1e5ffffffff,1.0,0.0,0.0,0.0,0.0
843c1e9ffffffff,84.0,0.0,0.0,0.0,0.0
843c307ffffffff,4.0,0.0,0.0,0.0,0.0
843c315ffffffff,1.0,0.0,0.0,0.0,0.0
843c329ffffffff,4.0,0.0,0.0,0.0,0.0
843c32bffffffff,1.0,0.0,0.0,0.0,0.0
843c331ffffffff,1.0,0.0,0.0,0.0,0.0
843c333ffffffff,19.0,0.0,0.0,0.0,0.0
843c335ffffffff,12.0,0.0,0.0,0.0,0.0
843c337ffffffff,4.0,0.0,0.0,0.0,0.0
843c33bffffffff,29.0,0.0,0.0,0.0,0.0
843c367ffffffff,4.0,0.0,0.0,0.0,0.0
843c369ffffffff,14.0,0.0,0.0,0.0,0.0
843c527ffffffff,3.0,0.0,0.0,0.0,0.0
843c537ffffffff,4.0,0.0,0.0,0.0,0.0
843c581ffffffff,2.0,0.0,0.0,0.0,0.0
843c585ffffffff,30.0,0.0,0.0,0.0,0.0
843c5a1ffffffff,21.0,0.0,0.0,0.0,0.0
843c5a9ffffffff,24.0,0.0,0.0,0.0,0.0
843c5abffffffff,9.0,0.0,0.0,0.0,0.0
843c5adffffffff,7.0,0.0,0.0,0.0,0.0
843c5bdffffffff,10.0,0.0,0.0,0.0,0.0
843c5e3ffffffff,6.0,0.0,0.0,0.0,0.0
843c5e5ffffffff,1.0,0.0,0.0,0.0,0.0
843c5e7ffffffff,4.0,0.0,0.0,0.0,0.0
843c801ffffffff,24.0,0.0,0.0,0.0,0.0
843c803ffffffff,2.0,0.0,0.0,0.0,0.0
843c805ffffffff,49.0,0.0,0.0,0.0,0.0
843c807ffffffff,6.0,0.0,0.0,0.0,0.0
843c809ffffffff,6.0,0.0,0.0,0.0,0.0
843c80bffffffff,2.0,0.0,0.0,0.0,0.0
843c80dffffffff,14.0,0.0,0.0,0.0,0.0
843c823ffffffff,3.0,0.0,0.0,0.0,0.0
843c829ffffffff,3.0,0.0,0.0,0.0,0.0
843c82dffffffff,1.0,0.0,0.0,0.0,0.0
843c831ffffffff,9.0,0.0,0.0,0.0,0.0
843c837ffffffff,3.0,0.0,0.0,0.0,0.0
843c839ffffffff,130.0,0.0,0.0,0.0,0.0
843c83bffffffff,10.0,0.0,0.0,0.0,0.0
843c843ffffffff,15.0,0.0,0.0,0.0,0.0
843c84dffffffff,2.0,0.0,0.0,0.0,0.0
843c853ffffffff,3.0,0.0,0.0,0.0,0.0
843c857ffffffff,1.0,0.0,0.0,0.0,0.0
843c85dffffffff,5.0,0.0,0.0,0.0,0.0
843c86dffffffff,2.0,0.0,0.0,0.0,0.0
843c885ffffffff,53.0,0.0,0.0,0.0,0.0
843c889ffffffff,2.0,0.0,0.0,0.0,0.0
843c88bffffffff,2.0,0.0,0.0,0.0,0.0
843c899ffffffff,52.0,0.0,0.0,0.0,0.0
843c8a9ffffffff,2.0,0.0,0.0,0.0,0.0
843c8c1ffffffff,14.0,0.0,0.0,0.0,0.0
843c8c3ffffffff,15.0,0.0,0.0,0.0,0.0
843c8c7ffffffff,88.0,0.0,0.0,0.0,0.0
843c8c9ffffffff,15.0,0.0,0.0,0.0,0.0
843c8cbffffffff,99.0,0.0,0.0,0.0,0.0
843c8d3ffffffff,5.0,0.0,0.0,0.0,0.0
843c8d5ffffffff,5.0,0.0,0.0,0.0,0.0
843c8d7ffffffff,28.0,0.0,0.0,0.0,0.0
843c8d9ffffffff,74.0,0.0,0.0,0.0,0.0
843c8dbffffffff,67.0,0.0,0.0,0.0,0.0
843c8ddffffffff,5.0,0.0,0.0,0.0,0.0
843c8e1ffffffff,25.0,0.0,0.0,0.0,0.0
843c8e5ffffffff,342.0,0.0,0.0,0.0,0.0
843c8e7ffffffff,37.0,0.0,0.0,0.0,0.0
843c8ebffffffff,4.0,0.0,0.0,0.0,0.0
843c8edffffffff,197.0,0.0,0.0,0.0,0.0
