cell_id,Habia rubica,Habia rubica affinis/rosea,Habia rubica [rubicoides Group],Habia rubica [rubra Group],Habia rubica perijana,Habia rubica rubica/bahiae
834505fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
834508fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83450afffffffff,155.0,0.0,1.0,0.0,0.0,0.0
83450bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83450cfffffffff,27.0,0.0,0.0,0.0,0.0,0.0
83450efffffffff,200.0,0.0,6.0,0.0,0.0,0.0
834520fffffffff,253.0,0.0,0.0,0.0,0.0,0.0
834521fffffffff,91.0,0.0,3.0,0.0,0.0,0.0
834522fffffffff,270.0,0.0,0.0,0.0,0.0,0.0
834523fffffffff,337.0,0.0,17.0,0.0,0.0,0.0
834524fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,176.0,0.0,0.0,0.0,0.0,0.0
834528fffffffff,347.0,0.0,1.0,0.0,0.0,0.0
834529fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83452afffffffff,523.0,0.0,6.0,0.0,0.0,0.0
83452bfffffffff,34.0,0.0,0.0,0.0,0.0,0.0
83452cfffffffff,334.0,0.0,9.0,0.0,0.0,0.0
83452dfffffffff,172.0,0.0,22.0,0.0,0.0,0.0
83452efffffffff,2968.0,0.0,168.0,0.0,0.0,0.0
834530fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
834531fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
834532fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
834534fffffffff,116.0,0.0,0.0,0.0,0.0,0.0
834535fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
834536fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
834564fffffffff,29.0,0.0,3.0,0.0,0.0,0.0
834836fffffffff,516.0,0.0,0.0,0.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834991fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
834993fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,33.0,0.0,1.0,0.0,0.0,0.0
834998fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83499cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83499efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8349a2fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8349a3fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8349a8fffffffff,69.0,2.0,0.0,0.0,0.0,0.0
8349a9fffffffff,187.0,2.0,0.0,0.0,0.0,0.0
8349aafffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8349adfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8349b1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8349b5fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8349b6fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
835f48fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
835f58fffffffff,546.0,0.0,0.0,0.0,0.0,0.0
835f59fffffffff,3.0,0.0,0.0,1.0,0.0,0.0
835f5bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836601fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836621fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
836628fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83665afffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83665bfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8366a0fffffffff,1628.0,0.0,0.0,0.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366a3fffffffff,63.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,756.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,356.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,1020.0,0.0,0.0,0.0,0.0,0.0
8366b6fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8366cefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366d8fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,28.0,0.0,0.0,7.0,0.0,0.0
8366ddfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366eafffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83675afffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836790fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836794fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836796fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
836d04fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836d05fffffffff,251.0,0.0,103.0,0.0,0.0,0.0
836d14fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836d15fffffffff,49.0,0.0,5.0,0.0,0.0,0.0
836d21fffffffff,115.0,0.0,34.0,0.0,0.0,0.0
836d22fffffffff,32.0,0.0,2.0,0.0,0.0,0.0
836d23fffffffff,199.0,0.0,70.0,0.0,0.0,0.0
836d29fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d2bfffffffff,47.0,0.0,0.0,0.0,0.0,0.0
836d2cfffffffff,272.0,0.0,84.0,0.0,0.0,0.0
836d2dfffffffff,204.0,0.0,4.0,0.0,0.0,0.0
836d2efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836d30fffffffff,114.0,0.0,13.0,0.0,0.0,0.0
836d31fffffffff,109.0,0.0,36.0,0.0,0.0,0.0
836d33fffffffff,198.0,0.0,21.0,0.0,0.0,0.0
836d34fffffffff,41.0,0.0,13.0,0.0,0.0,0.0
836d35fffffffff,242.0,0.0,31.0,0.0,0.0,0.0
836d36fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836d60fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
836d61fffffffff,134.0,0.0,0.0,0.0,0.0,0.0
836d64fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
836d65fffffffff,1236.0,0.0,0.0,0.0,0.0,0.0
836d66fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d68fffffffff,267.0,0.0,0.0,0.0,0.0,0.0
836d69fffffffff,1450.0,0.0,0.0,0.0,0.0,0.0
836d6bfffffffff,725.0,0.0,0.0,0.0,0.0,0.0
836d6dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836d6efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d74fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
836d75fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838130fffffffff,5.0,0.0,0.0,0.0,0.0,4.0
838132fffffffff,14.0,0.0,0.0,0.0,0.0,7.0
838133fffffffff,175.0,0.0,0.0,0.0,0.0,34.0
838134fffffffff,7.0,0.0,0.0,0.0,0.0,4.0
838136fffffffff,113.0,0.0,0.0,0.0,0.0,13.0
83814afffffffff,2.0,0.0,0.0,2.0,0.0,0.0
83814dfffffffff,2.0,0.0,0.0,2.0,0.0,0.0
838a04fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
838a05fffffffff,12.0,0.0,0.0,12.0,0.0,0.0
838a10fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
838a15fffffffff,6.0,0.0,0.0,4.0,0.0,0.0
838a1afffffffff,3.0,0.0,0.0,2.0,0.0,0.0
838a21fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838a31fffffffff,9.0,0.0,0.0,3.0,0.0,0.0
838a33fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838a45fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
838a52fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838a63fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
838a69fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
838a6dfffffffff,18.0,0.0,0.0,0.0,0.0,0.0
838a75fffffffff,9.0,0.0,0.0,1.0,0.0,0.0
838a80fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
838a81fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
838aaafffffffff,14.0,0.0,0.0,0.0,0.0,0.0
838ab2fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
838ae5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838af4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838b21fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
