cell_id,Rupornis magnirostris,Rupornis magnirostris gracilis,Rupornis magnirostris [magnirostris Group],Rupornis magnirostris [pucherani Group]
824507fffffffff,2.0,0.0,0.0,0.0
82450ffffffffff,6.0,4.0,0.0,0.0
824527fffffffff,38.0,0.0,0.0,0.0
82452ffffffffff,36.0,0.0,29.0,0.0
824537fffffffff,2.0,0.0,0.0,0.0
824887fffffffff,19.0,0.0,2.0,0.0
8248b7fffffffff,304.0,0.0,2.0,0.0
824997fffffffff,198.0,0.0,32.0,0.0
82499ffffffffff,13.0,0.0,6.0,0.0
8249affffffffff,16.0,0.0,11.0,0.0
8249b7fffffffff,2.0,0.0,0.0,0.0
825f1ffffffffff,1.0,0.0,1.0,0.0
825f5ffffffffff,8.0,0.0,0.0,0.0
82660ffffffffff,13.0,0.0,0.0,0.0
826617fffffffff,8.0,0.0,1.0,0.0
82661ffffffffff,6.0,0.0,4.0,0.0
82662ffffffffff,4.0,0.0,4.0,0.0
8266a7fffffffff,2.0,0.0,2.0,0.0
8266b7fffffffff,34.0,0.0,10.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0
8266d7fffffffff,15.0,0.0,8.0,0.0
8266dffffffffff,12.0,0.0,0.0,0.0
8266e7fffffffff,4.0,0.0,3.0,0.0
8266f7fffffffff,5.0,0.0,3.0,0.0
826747fffffffff,3.0,0.0,3.0,0.0
82674ffffffffff,19.0,0.0,0.0,0.0
826757fffffffff,3.0,0.0,3.0,0.0
82675ffffffffff,3.0,0.0,3.0,0.0
82679ffffffffff,8.0,0.0,1.0,0.0
826d07fffffffff,2.0,0.0,1.0,0.0
826d27fffffffff,176.0,0.0,172.0,0.0
826d2ffffffffff,19.0,0.0,5.0,0.0
826d37fffffffff,7.0,0.0,3.0,0.0
826d6ffffffffff,5.0,0.0,2.0,0.0
826d77fffffffff,4.0,0.0,4.0,0.0
828017fffffffff,2.0,0.0,0.0,2.0
828027fffffffff,2.0,0.0,0.0,0.0
828107fffffffff,2.0,0.0,0.0,2.0
828127fffffffff,2.0,0.0,0.0,2.0
82812ffffffffff,1.0,0.0,0.0,1.0
828137fffffffff,2.0,0.0,0.0,2.0
828a47fffffffff,3.0,0.0,0.0,0.0
828af7fffffffff,6.0,0.0,6.0,0.0
828b0ffffffffff,5.0,0.0,0.0,0.0
828b27fffffffff,13.0,0.0,0.0,13.0
828b37fffffffff,1.0,0.0,0.0,0.0
828b6ffffffffff,2.0,0.0,2.0,0.0
828b9ffffffffff,3.0,0.0,0.0,3.0
828bb7fffffffff,2.0,0.0,0.0,2.0
828f0ffffffffff,2.0,0.0,0.0,0.0
828f47fffffffff,19.0,0.0,19.0,0.0
828f57fffffffff,1.0,0.0,1.0,0.0
828f77fffffffff,6.0,0.0,6.0,0.0
82a807fffffffff,3.0,0.0,0.0,3.0
82a837fffffffff,1.0,0.0,0.0,1.0
82a85ffffffffff,12.0,0.0,0.0,12.0
82a887fffffffff,1.0,0.0,0.0,1.0
82a88ffffffffff,5.0,0.0,0.0,5.0
82a8a7fffffffff,6.0,0.0,0.0,6.0
82a8affffffffff,4.0,0.0,0.0,4.0
82a8d7fffffffff,1.0,0.0,0.0,1.0
82a92ffffffffff,1.0,0.0,0.0,0.0
82a947fffffffff,5.0,0.0,0.0,1.0
82a957fffffffff,2.0,0.0,0.0,2.0
82a967fffffffff,84.0,0.0,0.0,5.0
82a96ffffffffff,76.0,0.0,0.0,0.0
82b24ffffffffff,990.0,0.0,0.0,0.0
82b267fffffffff,11.0,0.0,0.0,0.0
82b26ffffffffff,283.0,0.0,0.0,0.0
82b2effffffffff,8.0,0.0,0.0,0.0
82b307fffffffff,2.0,0.0,0.0,0.0
82b347fffffffff,5.0,0.0,0.0,0.0
82b35ffffffffff,9.0,0.0,0.0,3.0
82b367fffffffff,1.0,0.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0,0.0
82c21ffffffffff,2.0,0.0,0.0,2.0
82c2c7fffffffff,5.0,0.0,0.0,3.0
82c2cffffffffff,384.0,0.0,0.0,0.0
82c2d7fffffffff,3.0,0.0,0.0,0.0
82c2e7fffffffff,3.0,0.0,0.0,0.0
82c2effffffffff,136.0,0.0,0.0,0.0
82c2f7fffffffff,4.0,0.0,0.0,0.0
82c34ffffffffff,10.0,0.0,0.0,0.0
