cell_id,Monticola sharpei,Monticola sharpei sharpei,Monticola sharpei bensoni
82a217fffffffff,210.0,111.0,1.0
82a227fffffffff,16.0,9.0,0.0
82a237fffffffff,64.0,33.0,2.0
82a2a7fffffffff,5.0,0.0,3.0
82a2affffffffff,7.0,1.0,1.0
82a30ffffffffff,17.0,6.0,0.0
82a357fffffffff,1.0,0.0,0.0
82a38ffffffffff,238.0,8.0,169.0
82a39ffffffffff,3.0,0.0,0.0
82a3affffffffff,10.0,4.0,0.0
