cell_id,Schiffornis veraepacis,Schiffornis veraepacis [veraepacis Group],Schiffornis veraepacis rosenbergi
83450cfffffffff,5.0,5.0,0.0
83450efffffffff,13.0,11.0,0.0
834523fffffffff,2.0,2.0,0.0
83452afffffffff,10.0,0.0,0.0
83452bfffffffff,1.0,0.0,0.0
83452efffffffff,3.0,2.0,0.0
836611fffffffff,5.0,2.0,0.0
836616fffffffff,3.0,0.0,0.0
83661bfffffffff,5.0,0.0,0.0
83661efffffffff,3.0,0.0,0.0
8366a5fffffffff,4.0,1.0,0.0
8366b0fffffffff,5.0,5.0,0.0
8366b4fffffffff,4.0,4.0,0.0
8366b5fffffffff,10.0,6.0,0.0
8366d0fffffffff,39.0,0.0,4.0
8366d3fffffffff,60.0,0.0,28.0
836d2cfffffffff,12.0,6.0,0.0
836d31fffffffff,16.0,6.0,0.0
836d68fffffffff,6.0,6.0,0.0
836d69fffffffff,21.0,18.0,0.0
838f0dfffffffff,6.0,0.0,4.0
838f2afffffffff,18.0,0.0,10.0
838f2cfffffffff,6.0,0.0,0.0
