cell_id,Saxicola maurus,Saxicola maurus hemprichii,Saxicola maurus [maurus Group],Saxicola maurus przewalskii
82074ffffffffff,3.0,0.0,3.0,0.0
820887fffffffff,6.0,0.0,4.0,0.0
82089ffffffffff,2.0,0.0,0.0,0.0
820997fffffffff,3.0,3.0,0.0,0.0
8209a7fffffffff,8.0,0.0,0.0,0.0
821187fffffffff,1.0,0.0,0.0,0.0
821597fffffffff,1.0,0.0,0.0,0.0
82182ffffffffff,3.0,0.0,0.0,0.0
821877fffffffff,3.0,2.0,0.0,0.0
821947fffffffff,7.0,0.0,1.0,0.0
82194ffffffffff,13.0,0.0,2.0,0.0
821957fffffffff,3.0,0.0,3.0,0.0
82196ffffffffff,4.0,0.0,0.0,0.0
821e97fffffffff,3.0,0.0,3.0,0.0
821ec7fffffffff,13.0,7.0,0.0,0.0
821ecffffffffff,12.0,1.0,0.0,0.0
821eeffffffffff,3.0,0.0,0.0,0.0
821f0ffffffffff,2.0,0.0,2.0,0.0
821f77fffffffff,23.0,0.0,0.0,0.0
821f87fffffffff,2.0,0.0,0.0,0.0
822017fffffffff,1.0,0.0,1.0,0.0
82204ffffffffff,7.0,0.0,2.0,0.0
82206ffffffffff,6.0,0.0,6.0,0.0
82209ffffffffff,1.0,0.0,1.0,0.0
8220b7fffffffff,25.0,0.0,1.0,0.0
8220effffffffff,1.0,0.0,1.0,0.0
822157fffffffff,5.0,0.0,5.0,0.0
822457fffffffff,1.0,0.0,0.0,0.0
822517fffffffff,2.0,0.0,0.0,0.0
822557fffffffff,1.0,0.0,0.0,0.0
822c07fffffffff,60.0,0.0,0.0,0.0
822c0ffffffffff,17.0,17.0,0.0,0.0
822c17fffffffff,6.0,0.0,0.0,0.0
822c27fffffffff,1.0,0.0,0.0,0.0
822c2ffffffffff,7.0,0.0,0.0,0.0
822c37fffffffff,7.0,0.0,0.0,0.0
822c97fffffffff,13.0,1.0,1.0,0.0
822ce7fffffffff,3.0,3.0,0.0,0.0
822d07fffffffff,3.0,2.0,0.0,0.0
822d17fffffffff,2.0,0.0,0.0,0.0
822d1ffffffffff,1.0,0.0,0.0,0.0
822d5ffffffffff,2.0,0.0,0.0,0.0
822da7fffffffff,16.0,1.0,0.0,0.0
822db7fffffffff,25.0,4.0,3.0,0.0
82395ffffffffff,1.0,1.0,0.0,0.0
82396ffffffffff,2.0,0.0,0.0,0.0
823c07fffffffff,5.0,0.0,1.0,4.0
823c0ffffffffff,6.0,0.0,0.0,0.0
