cell_id,Agelaius phoeniceus,Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus gubernator
840c143ffffffff,4.0,0.0,0.0,0.0
840c415ffffffff,33.0,0.0,0.0,0.0
840c425ffffffff,2.0,0.0,0.0,0.0
840c42dffffffff,43.0,2.0,0.0,0.0
840c455ffffffff,1.0,0.0,0.0,0.0
840c465ffffffff,1.0,0.0,0.0,0.0
840c503ffffffff,2.0,0.0,0.0,0.0
840c51dffffffff,5.0,0.0,0.0,0.0
840c63dffffffff,6.0,0.0,0.0,0.0
840c64bffffffff,6.0,0.0,0.0,0.0
840c65dffffffff,5.0,0.0,0.0,0.0
840c71bffffffff,2.0,0.0,0.0,0.0
840c733ffffffff,6.0,0.0,0.0,0.0
840d039ffffffff,3.0,0.0,0.0,0.0
840d0c3ffffffff,2.0,0.0,0.0,0.0
840d5e7ffffffff,8.0,0.0,0.0,0.0
840e45bffffffff,10.0,0.0,0.0,0.0
840e4dbffffffff,10.0,0.0,0.0,0.0
840e6e7ffffffff,2.0,0.0,0.0,0.0
840ec19ffffffff,16.0,0.0,0.0,0.0
840ec41ffffffff,1.0,0.0,0.0,0.0
840ec51ffffffff,2.0,0.0,0.0,0.0
840ec57ffffffff,2.0,0.0,0.0,0.0
840ecc9ffffffff,12.0,0.0,0.0,0.0
840ee27ffffffff,2.0,1.0,0.0,0.0
840eea7ffffffff,38.0,0.0,0.0,0.0
840eeabffffffff,32.0,0.0,0.0,0.0
840eeb5ffffffff,3.0,0.0,0.0,0.0
840eebdffffffff,3.0,0.0,0.0,0.0
840ef03ffffffff,2.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0
8412515ffffffff,5.0,5.0,0.0,0.0
8412539ffffffff,5.0,5.0,0.0,0.0
841258bffffffff,2.0,0.0,0.0,0.0
8412591ffffffff,2.0,0.0,0.0,0.0
8412597ffffffff,3.0,3.0,0.0,0.0
84125d3ffffffff,5.0,0.0,0.0,0.0
84125d9ffffffff,2.0,0.0,0.0,0.0
84125dbffffffff,5.0,0.0,0.0,0.0
8412b03ffffffff,9.0,0.0,0.0,0.0
8412b4bffffffff,6.0,0.0,0.0,0.0
8412b63ffffffff,7.0,0.0,0.0,0.0
8412c11ffffffff,11.0,0.0,0.0,0.0
8412c21ffffffff,1.0,0.0,0.0,0.0
8412c83ffffffff,2.0,0.0,0.0,0.0
8412c85ffffffff,8.0,0.0,0.0,0.0
8412c89ffffffff,1.0,0.0,0.0,0.0
8412c91ffffffff,6.0,0.0,0.0,0.0
8412cadffffffff,6.0,0.0,0.0,0.0
8412cbbffffffff,3.0,0.0,0.0,0.0
8412cc1ffffffff,2.0,0.0,0.0,0.0
8412cc3ffffffff,1.0,0.0,0.0,0.0
8412cc9ffffffff,5.0,0.0,0.0,0.0
8412ccdffffffff,21.0,1.0,0.0,0.0
8412cd5ffffffff,2.0,0.0,0.0,0.0
8412cd7ffffffff,2.0,0.0,0.0,0.0
8412d87ffffffff,2.0,0.0,0.0,0.0
