cell_id,Bycanistes fistulator,Bycanistes fistulator fistulator,Bycanistes fistulator sharpii/duboisi
8454cc3ffffffff,1.0,0.0,0.0
8454e21ffffffff,2.0,0.0,0.0
8454f0dffffffff,1.0,0.0,0.0
8454f15ffffffff,1.0,0.0,0.0
8454f19ffffffff,2.0,0.0,0.0
8454f1bffffffff,19.0,0.0,0.0
8454f47ffffffff,3.0,0.0,0.0
8454f51ffffffff,3.0,0.0,0.0
8458833ffffffff,1.0,0.0,0.0
8458861ffffffff,1.0,0.0,0.0
8458909ffffffff,1.0,0.0,0.0
8458943ffffffff,2.0,0.0,0.0
845894bffffffff,27.0,0.0,0.0
8458951ffffffff,2.0,0.0,0.0
84589c9ffffffff,10.0,0.0,0.0
8458d05ffffffff,1.0,0.0,0.0
8458d23ffffffff,9.0,0.0,0.0
8458d27ffffffff,1.0,0.0,0.0
8458d33ffffffff,1.0,0.0,0.0
8458d35ffffffff,7.0,0.0,0.0
8458db5ffffffff,3.0,0.0,0.0
8458de5ffffffff,8.0,0.0,6.0
8458debffffffff,3.0,0.0,0.0
846a967ffffffff,2.0,0.0,0.0
846a9e5ffffffff,16.0,0.0,0.0
846a9e7ffffffff,4.0,0.0,0.0
846a9edffffffff,7.0,0.0,0.0
846ac03ffffffff,143.0,0.0,28.0
846ac0bffffffff,102.0,0.0,39.0
846ac15ffffffff,1.0,0.0,1.0
846ac1dffffffff,4.0,0.0,0.0
846ac39ffffffff,2.0,0.0,0.0
846ac69ffffffff,1.0,0.0,0.0
846aea1ffffffff,9.0,0.0,1.0
846aea9ffffffff,7.0,0.0,0.0
846aeabffffffff,2.0,0.0,0.0
8474361ffffffff,1.0,0.0,0.0
8475083ffffffff,22.0,1.0,0.0
8475085ffffffff,100.0,9.0,0.0
8475087ffffffff,60.0,11.0,0.0
847509dffffffff,4.0,0.0,0.0
84750abffffffff,3.0,0.0,0.0
84750d1ffffffff,295.0,28.0,0.0
84750d3ffffffff,33.0,4.0,0.0
84750d7ffffffff,16.0,5.0,0.0
84750d9ffffffff,3.0,0.0,0.0
84750dbffffffff,17.0,0.0,0.0
84750ddffffffff,7.0,0.0,0.0
8475185ffffffff,2.0,0.0,0.0
847518dffffffff,12.0,0.0,0.0
8475191ffffffff,2.0,0.0,0.0
8475195ffffffff,1.0,0.0,0.0
8475199ffffffff,2.0,0.0,0.0
84751bbffffffff,2.0,0.0,0.0
84751d7ffffffff,1.0,0.0,0.0
8475293ffffffff,2.0,0.0,0.0
8475295ffffffff,2.0,0.0,0.0
8475299ffffffff,7.0,0.0,0.0
84752abffffffff,5.0,0.0,0.0
84752d3ffffffff,1.0,0.0,0.0
84752dbffffffff,2.0,0.0,0.0
84752e9ffffffff,2.0,0.0,0.0
8475313ffffffff,2.0,0.0,0.0
8475323ffffffff,1.0,0.0,0.0
8475765ffffffff,1.0,0.0,0.0
8475769ffffffff,14.0,0.0,0.0
847584dffffffff,2.0,0.0,0.0
8475861ffffffff,1.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0
8475a81ffffffff,1.0,0.0,0.0
8475a83ffffffff,6.0,0.0,0.0
8475ae7ffffffff,1.0,0.0,0.0
8475b01ffffffff,1.0,1.0,0.0
8475b07ffffffff,3.0,0.0,0.0
8475b0dffffffff,2.0,0.0,0.0
8482125ffffffff,18.0,0.0,1.0
8482151ffffffff,1.0,0.0,0.0
8482181ffffffff,5.0,0.0,1.0
8482187ffffffff,11.0,0.0,1.0
848218dffffffff,2.0,0.0,1.0
84821a1ffffffff,1.0,0.0,0.0
84821b1ffffffff,1.0,0.0,0.0
84821b3ffffffff,1.0,0.0,0.0
84821c7ffffffff,1.0,0.0,0.0
8482335ffffffff,1.0,0.0,0.0
8482367ffffffff,1.0,0.0,0.0
8482805ffffffff,1.0,0.0,0.0
8482841ffffffff,2.0,0.0,0.0
848284dffffffff,2.0,0.0,0.0
8482853ffffffff,5.0,0.0,2.0
848289bffffffff,1.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828b5ffffffff,2.0,0.0,0.0
84828bdffffffff,2.0,0.0,0.0
84828d1ffffffff,163.0,0.0,0.0
84828ddffffffff,3.0,0.0,0.0
848290bffffffff,6.0,0.0,0.0
848295dffffffff,1.0,0.0,0.0
8482a09ffffffff,7.0,0.0,0.0
8482a0bffffffff,3.0,0.0,0.0
8482a37ffffffff,9.0,0.0,0.0
8482a55ffffffff,3.0,0.0,2.0
8482a81ffffffff,14.0,0.0,6.0
8482a83ffffffff,3.0,0.0,0.0
8482a8dffffffff,2.0,0.0,0.0
8482aadffffffff,16.0,0.0,6.0
8482ab3ffffffff,4.0,0.0,0.0
8482ab7ffffffff,6.0,0.0,0.0
8482ac5ffffffff,2.0,0.0,0.0
8482ae3ffffffff,1.0,0.0,0.0
8482b37ffffffff,1.0,0.0,0.0
8482d23ffffffff,3.0,0.0,0.0
8482d2bffffffff,4.0,0.0,2.0
8482d37ffffffff,11.0,0.0,0.0
8482d4dffffffff,8.0,0.0,0.0
8482d67ffffffff,9.0,0.0,3.0
8482d8dffffffff,4.0,0.0,0.0
8482db5ffffffff,2.0,0.0,0.0
8482f07ffffffff,3.0,0.0,0.0
8482f09ffffffff,11.0,0.0,0.0
8482f2bffffffff,3.0,0.0,0.0
8482f41ffffffff,1.0,0.0,0.0
8482f43ffffffff,9.0,0.0,0.0
8482f69ffffffff,5.0,0.0,0.0
8483131ffffffff,2.0,0.0,0.0
848313dffffffff,15.0,0.0,2.0
84831e5ffffffff,1.0,0.0,0.0
84838a5ffffffff,2.0,0.0,0.0
84838adffffffff,1.0,0.0,0.0
8483a89ffffffff,5.0,0.0,0.0
8483ac3ffffffff,15.0,0.0,4.0
8483ac7ffffffff,2.0,0.0,2.0
8483ad1ffffffff,2.0,0.0,0.0
8496d85ffffffff,1.0,0.0,0.0
