cell_id,Vireo gilvus,Vireo gilvus gilvus,Vireo gilvus [swainsoni Group]
820c47fffffffff,36.0,0.0,0.0
820ca7fffffffff,24.0,0.0,0.0
821237fffffffff,3.0,0.0,0.0
821257fffffffff,12.0,5.0,7.0
821277fffffffff,2.0,2.0,0.0
821287fffffffff,2.0,0.0,0.0
82128ffffffffff,115.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0
8212b7fffffffff,24.0,0.0,0.0
8212c7fffffffff,26.0,0.0,14.0
8212cffffffffff,138.0,4.0,42.0
8212d7fffffffff,11.0,0.0,0.0
8212dffffffffff,28.0,0.0,8.0
8212effffffffff,5.0,5.0,0.0
8212f7fffffffff,3.0,0.0,3.0
821317fffffffff,3.0,0.0,0.0
821387fffffffff,27.0,0.0,0.0
82138ffffffffff,27.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0
82139ffffffffff,2.0,0.0,0.0
821aa7fffffffff,48.0,2.0,0.0
8222dffffffffff,17.0,0.0,0.0
822607fffffffff,6.0,4.0,0.0
82260ffffffffff,48.0,26.0,0.0
822617fffffffff,7.0,5.0,0.0
82261ffffffffff,6.0,2.0,0.0
822627fffffffff,2.0,0.0,0.0
82262ffffffffff,4.0,0.0,0.0
822637fffffffff,2.0,0.0,0.0
822647fffffffff,45.0,2.0,0.0
82264ffffffffff,212.0,4.0,0.0
822657fffffffff,43.0,2.0,0.0
82265ffffffffff,65.0,3.0,0.0
822667fffffffff,84.0,14.0,0.0
82266ffffffffff,22.0,0.0,0.0
822677fffffffff,10.0,2.0,0.0
822687fffffffff,167.0,46.0,30.0
82268ffffffffff,176.0,14.0,44.0
822697fffffffff,281.0,0.0,192.0
82269ffffffffff,141.0,0.0,32.0
8226a7fffffffff,6.0,0.0,4.0
8226affffffffff,175.0,113.0,18.0
8226b7fffffffff,9.0,0.0,4.0
8226c7fffffffff,21.0,11.0,0.0
8226cffffffffff,4.0,2.0,0.0
8226d7fffffffff,21.0,15.0,4.0
8226dffffffffff,7.0,0.0,0.0
8226e7fffffffff,46.0,10.0,0.0
8226effffffffff,10.0,0.0,0.0
8226f7fffffffff,117.0,103.0,0.0
822707fffffffff,19.0,0.0,0.0
82270ffffffffff,6.0,6.0,0.0
822717fffffffff,8.0,2.0,0.0
82271ffffffffff,16.0,2.0,0.0
822747fffffffff,65.0,4.0,0.0
82274ffffffffff,419.0,7.0,0.0
822757fffffffff,27.0,1.0,0.0
82275ffffffffff,56.0,0.0,0.0
822767fffffffff,6.0,0.0,0.0
82276ffffffffff,39.0,1.0,0.0
822777fffffffff,2.0,0.0,0.0
822787fffffffff,44.0,14.0,13.0
82278ffffffffff,2.0,2.0,0.0
822797fffffffff,32.0,0.0,24.0
82279ffffffffff,38.0,9.0,26.0
8227a7fffffffff,12.0,0.0,0.0
8227affffffffff,17.0,2.0,0.0
8227b7fffffffff,16.0,11.0,5.0
822807fffffffff,23.0,0.0,6.0
822817fffffffff,166.0,0.0,22.0
82281ffffffffff,109.0,0.0,40.0
822837fffffffff,896.0,5.0,114.0
822887fffffffff,116.0,0.0,4.0
82288ffffffffff,18.0,0.0,2.0
822897fffffffff,68.0,0.0,30.0
82289ffffffffff,45.0,0.0,23.0
8228a7fffffffff,5.0,0.0,3.0
8228affffffffff,15.0,0.0,12.0
8228b7fffffffff,31.0,0.0,16.0
8228c7fffffffff,14.0,0.0,2.0
8228d7fffffffff,90.0,0.0,22.0
8228dffffffffff,44.0,0.0,8.0
