cell_id,Vireo griseus,Vireo griseus [griseus Group],Vireo griseus perquisitor
82260ffffffffff,79.0,0.0,0.0
822647fffffffff,8302.0,0.0,0.0
82264ffffffffff,9874.0,0.0,0.0
822657fffffffff,6332.0,0.0,0.0
82265ffffffffff,7669.0,0.0,0.0
822667fffffffff,3546.0,0.0,0.0
82266ffffffffff,6454.0,0.0,0.0
822677fffffffff,469.0,0.0,0.0
8226c7fffffffff,1321.0,0.0,0.0
8226cffffffffff,9333.0,0.0,0.0
8226dffffffffff,453.0,0.0,0.0
8226e7fffffffff,159.0,0.0,0.0
8226effffffffff,3274.0,0.0,0.0
82274ffffffffff,292.0,0.0,0.0
82275ffffffffff,181.0,0.0,0.0
822a07fffffffff,56.0,0.0,0.0
822a17fffffffff,9578.0,0.0,0.0
822a37fffffffff,1957.0,0.0,0.0
822a4ffffffffff,2939.0,0.0,0.0
822a87fffffffff,5163.0,48.0,0.0
822a8ffffffffff,17751.0,0.0,0.0
822a97fffffffff,6200.0,0.0,0.0
822a9ffffffffff,3519.0,32.0,0.0
822aa7fffffffff,812.0,0.0,0.0
822aaffffffffff,46219.0,658.0,0.0
822ab7fffffffff,5950.0,6.0,0.0
822ad7fffffffff,5351.0,0.0,0.0
822af7fffffffff,7870.0,0.0,0.0
822b1ffffffffff,87.0,0.0,0.0
822b8ffffffffff,1.0,0.0,0.0
824417fffffffff,15363.0,241.0,0.0
82441ffffffffff,14526.0,311.0,0.0
824427fffffffff,3.0,0.0,0.0
824437fffffffff,378.0,26.0,0.0
824447fffffffff,12329.0,0.0,0.0
82444ffffffffff,4646.0,0.0,0.0
824457fffffffff,10554.0,0.0,0.0
82445ffffffffff,3007.0,0.0,0.0
824467fffffffff,658.0,0.0,0.0
82446ffffffffff,24197.0,0.0,0.0
824477fffffffff,2682.0,0.0,0.0
824487fffffffff,318.0,0.0,0.0
8244a7fffffffff,7566.0,178.0,0.0
8244affffffffff,20882.0,718.0,0.0
8244b7fffffffff,82.0,0.0,0.0
8244c7fffffffff,15559.0,0.0,0.0
8244cffffffffff,9289.0,0.0,0.0
8244d7fffffffff,18683.0,0.0,0.0
8244dffffffffff,10591.0,0.0,0.0
8244e7fffffffff,7938.0,256.0,0.0
8244effffffffff,5061.0,0.0,0.0
8244f7fffffffff,30768.0,243.0,0.0
824507fffffffff,794.0,0.0,0.0
82450ffffffffff,8023.0,27.0,0.0
82451ffffffffff,57.0,0.0,0.0
824527fffffffff,2779.0,0.0,0.0
82452ffffffffff,13521.0,247.0,0.0
824537fffffffff,567.0,0.0,0.0
824577fffffffff,378.0,16.0,0.0
824587fffffffff,12.0,0.0,0.0
82458ffffffffff,219.0,35.0,0.0
824597fffffffff,2.0,0.0,0.0
82459ffffffffff,386.0,72.0,0.0
8245a7fffffffff,26.0,0.0,0.0
824887fffffffff,5268.0,0.0,0.0
82488ffffffffff,1302.0,0.0,0.0
824897fffffffff,16175.0,0.0,0.0
82489ffffffffff,36682.0,0.0,0.0
8248a7fffffffff,1082.0,0.0,0.0
8248b7fffffffff,32840.0,0.0,0.0
824997fffffffff,3015.0,0.0,0.0
82499ffffffffff,457.0,0.0,0.0
824c97fffffffff,10.0,0.0,0.0
824c9ffffffffff,7.0,0.0,0.0
824cb7fffffffff,30.0,0.0,0.0
824cc7fffffffff,455.0,0.0,0.0
824ceffffffffff,106.0,0.0,0.0
826d07fffffffff,37.0,11.0,0.0
826d27fffffffff,914.0,67.0,0.0
826d2ffffffffff,289.0,25.0,0.0
826d37fffffffff,2033.0,28.0,0.0
