cell_id,Plectropterus gambensis,Plectropterus gambensis gambensis,Plectropterus gambensis niger
8452825ffffffff,2.0,0.0,0.0
8452919ffffffff,1.0,1.0,0.0
845291bffffffff,19.0,2.0,0.0
84529b7ffffffff,4.0,0.0,0.0
8454101ffffffff,2.0,0.0,0.0
8454103ffffffff,104.0,40.0,0.0
845411dffffffff,3.0,3.0,0.0
8454139ffffffff,41.0,13.0,0.0
845413bffffffff,1.0,0.0,0.0
8454153ffffffff,2.0,2.0,0.0
8454157ffffffff,1.0,0.0,0.0
8454197ffffffff,1.0,0.0,0.0
84541a3ffffffff,66.0,9.0,0.0
84541a5ffffffff,2.0,0.0,0.0
84541a7ffffffff,1.0,0.0,0.0
84541adffffffff,5.0,0.0,0.0
84541b1ffffffff,2.0,0.0,0.0
84541b9ffffffff,115.0,8.0,0.0
84541bbffffffff,2.0,0.0,0.0
84541bdffffffff,21.0,3.0,0.0
8454499ffffffff,2.0,0.0,0.0
8454a93ffffffff,39.0,0.0,0.0
8454a99ffffffff,1.0,0.0,0.0
8454a9bffffffff,4.0,2.0,0.0
8454e41ffffffff,38.0,0.0,0.0
8454e4bffffffff,4.0,0.0,0.0
8454e4dffffffff,14.0,4.0,0.0
8454f1bffffffff,2.0,0.0,0.0
8454f47ffffffff,2.0,0.0,0.0
8454f49ffffffff,1.0,0.0,0.0
8454f4dffffffff,7.0,1.0,0.0
8454f51ffffffff,5.0,0.0,0.0
8454f53ffffffff,4.0,0.0,0.0
8454f6bffffffff,4.0,0.0,0.0
8458581ffffffff,5.0,0.0,0.0
8458585ffffffff,2.0,0.0,0.0
8458587ffffffff,2.0,0.0,0.0
84585abffffffff,1.0,0.0,0.0
8458a4dffffffff,8.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0
8458debffffffff,1.0,0.0,0.0
84599a5ffffffff,8.0,0.0,0.0
84599b1ffffffff,1.0,0.0,0.0
84599e5ffffffff,12.0,1.0,0.0
84599e7ffffffff,3.0,0.0,0.0
846a45dffffffff,2.0,0.0,0.0
846a495ffffffff,3.0,0.0,0.0
846a507ffffffff,2.0,0.0,0.0
846a5a9ffffffff,3.0,0.0,0.0
846ac0bffffffff,1.0,1.0,0.0
846ac33ffffffff,2.0,2.0,0.0
846ac3dffffffff,17.0,3.0,0.0
846ac89ffffffff,124.0,10.0,0.0
846ac8dffffffff,15.0,0.0,0.0
846aca5ffffffff,2.0,0.0,0.0
846acc7ffffffff,3.0,3.0,0.0
846accbffffffff,5.0,0.0,0.0
846ace1ffffffff,20.0,1.0,0.0
846ace3ffffffff,1.0,0.0,0.0
846ace5ffffffff,58.0,5.0,0.0
846ace7ffffffff,3.0,3.0,0.0
846acebffffffff,3.0,0.0,0.0
846ad81ffffffff,120.0,0.0,0.0
846ad89ffffffff,33.0,0.0,0.0
846ad8bffffffff,49.0,0.0,0.0
846ad8dffffffff,12.0,0.0,0.0
846ada5ffffffff,2.0,0.0,0.0
