cell_id,Cyanoliseus patagonus,Cyanoliseus patagonus andinus,Cyanoliseus patagonus patagonus/conlara,Cyanoliseus patagonus bloxami
82184ffffffffff,1.0,0.0,0.0,0.0
8229a7fffffffff,92.0,0.0,2.0,0.0
82391ffffffffff,1.0,0.0,0.0,0.0
823947fffffffff,1.0,0.0,0.0,0.0
824997fffffffff,1.0,0.0,0.0,0.0
825d17fffffffff,6.0,0.0,0.0,0.0
82b20ffffffffff,2.0,0.0,0.0,0.0
82b21ffffffffff,146.0,0.0,0.0,0.0
82b24ffffffffff,2.0,0.0,0.0,0.0
82b25ffffffffff,7.0,0.0,0.0,0.0
82b277fffffffff,7.0,6.0,0.0,0.0
82b2c7fffffffff,73.0,0.0,0.0,7.0
82b2cffffffffff,2.0,0.0,0.0,2.0
82b2e7fffffffff,1.0,0.0,0.0,0.0
82b2effffffffff,3.0,0.0,0.0,0.0
82b35ffffffffff,18.0,10.0,0.0,0.0
82c21ffffffffff,3.0,0.0,0.0,0.0
82c2e7fffffffff,17.0,0.0,0.0,0.0
82c30ffffffffff,3.0,0.0,0.0,0.0
82c32ffffffffff,3.0,0.0,3.0,0.0
82c357fffffffff,2.0,0.0,0.0,0.0
