cell_id,Cisticola textrix,Cisticola textrix [major Group],Cisticola textrix textrix
84ad321ffffffff,18.0,0.0,3.0
84ad325ffffffff,1.0,0.0,1.0
84ad329ffffffff,17.0,0.0,7.0
84ad32dffffffff,6.0,0.0,2.0
84ad361ffffffff,6.0,0.0,2.0
84ad365ffffffff,13.0,0.0,5.0
84ad367ffffffff,142.0,0.0,52.0
84ad369ffffffff,7.0,0.0,3.0
84ada8dffffffff,2.0,0.0,0.0
84bc409ffffffff,2.0,0.0,0.0
84bc469ffffffff,2.0,0.0,0.0
84bc49bffffffff,2.0,0.0,1.0
84bc49dffffffff,1.0,0.0,0.0
84bc4d3ffffffff,1.0,0.0,0.0
84bc4dbffffffff,2.0,0.0,0.0
84bc501ffffffff,2.0,0.0,0.0
84bc50bffffffff,9.0,2.0,0.0
84bc51bffffffff,1.0,0.0,0.0
84bc51dffffffff,2.0,0.0,0.0
84bc525ffffffff,2.0,0.0,0.0
84bc52bffffffff,3.0,0.0,0.0
84bc533ffffffff,2.0,0.0,0.0
84bc567ffffffff,2.0,0.0,0.0
84bc5edffffffff,3.0,0.0,0.0
84bc683ffffffff,13.0,0.0,4.0
84bc687ffffffff,23.0,0.0,6.0
84bc6a3ffffffff,55.0,0.0,22.0
84bc6abffffffff,24.0,0.0,15.0
84bc6b9ffffffff,7.0,0.0,7.0
84bc6bdffffffff,17.0,0.0,8.0
84bc717ffffffff,21.0,0.0,0.0
84bcc05ffffffff,2.0,2.0,0.0
84bcc07ffffffff,4.0,4.0,0.0
84bcc15ffffffff,1.0,0.0,0.0
84bcc17ffffffff,6.0,4.0,0.0
84bcc21ffffffff,23.0,5.0,0.0
84bcc23ffffffff,11.0,1.0,0.0
84bcc25ffffffff,2.0,0.0,0.0
84bcc27ffffffff,12.0,3.0,0.0
84bcc29ffffffff,15.0,3.0,0.0
84bcc2bffffffff,33.0,12.0,0.0
84bcc31ffffffff,2.0,0.0,0.0
84bcc33ffffffff,5.0,0.0,0.0
84bcc35ffffffff,3.0,0.0,0.0
84bcc3bffffffff,1.0,0.0,0.0
84bcc3dffffffff,119.0,14.0,0.0
84bcc41ffffffff,3.0,3.0,0.0
84bcc4bffffffff,13.0,5.0,0.0
84bcc4dffffffff,3.0,0.0,0.0
84bcc5bffffffff,3.0,3.0,0.0
84bcc65ffffffff,50.0,21.0,0.0
84bcc67ffffffff,1.0,1.0,0.0
84bcc69ffffffff,2.0,0.0,0.0
84bcc6dffffffff,24.0,5.0,0.0
84bcca9ffffffff,1.0,1.0,0.0
84bccc7ffffffff,5.0,0.0,0.0
84bccedffffffff,2.0,2.0,0.0
84bcd01ffffffff,4.0,0.0,0.0
84bcd03ffffffff,2.0,0.0,0.0
84bcd07ffffffff,7.0,2.0,0.0
84bcd13ffffffff,5.0,0.0,0.0
84bcd15ffffffff,7.0,7.0,0.0
84bcd19ffffffff,10.0,0.0,0.0
84bcd1bffffffff,5.0,1.0,0.0
84bcd1dffffffff,9.0,5.0,0.0
84bcd21ffffffff,1.0,0.0,0.0
84bcd43ffffffff,6.0,0.0,0.0
84bcd53ffffffff,1.0,0.0,0.0
84bcd57ffffffff,1.0,0.0,0.0
84bcdc1ffffffff,2.0,0.0,0.0
84bcdc9ffffffff,71.0,9.0,0.0
84bcdcbffffffff,5.0,0.0,0.0
84bcdcdffffffff,35.0,8.0,0.0
84bce2bffffffff,1.0,0.0,0.0
84bce5bffffffff,3.0,2.0,0.0
84bce83ffffffff,7.0,0.0,0.0
84bce85ffffffff,10.0,2.0,0.0
84bce95ffffffff,4.0,0.0,0.0
84bcecbffffffff,1.0,0.0,0.0
84bcee3ffffffff,1.0,1.0,0.0
84bceebffffffff,1.0,0.0,0.0
84bcf33ffffffff,14.0,6.0,0.0
84bcf3bffffffff,3.0,2.0,0.0
84bcf53ffffffff,1.0,0.0,0.0
