cell_id,Saucerottia beryllina,Saucerottia beryllina beryllina/viola,Saucerottia beryllina [devillei Group]
822747fffffffff,21.0,0.0,0.0
824527fffffffff,203.0,0.0,0.0
824537fffffffff,5.0,0.0,0.0
824817fffffffff,1.0,0.0,0.0
82481ffffffffff,2.0,0.0,0.0
824837fffffffff,6.0,0.0,0.0
8248c7fffffffff,594.0,2.0,0.0
8248e7fffffffff,2.0,0.0,0.0
8248effffffffff,1491.0,28.0,0.0
8248f7fffffffff,3.0,0.0,0.0
824987fffffffff,10.0,0.0,0.0
824997fffffffff,15.0,8.0,0.0
82499ffffffffff,7.0,0.0,0.0
8249affffffffff,2.0,0.0,0.0
8249b7fffffffff,20.0,0.0,0.0
826d07fffffffff,15.0,0.0,0.0
826d17fffffffff,6.0,6.0,0.0
826d27fffffffff,19.0,0.0,0.0
826d2ffffffffff,24.0,0.0,0.0
826d37fffffffff,23.0,3.0,0.0
826d67fffffffff,21.0,0.0,0.0
