cell_id,Formicarius analis,Formicarius analis [hoffmanni Group],Formicarius analis [analis Group]
834530fffffffff,29.0,0.0,0.0
834532fffffffff,48.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834536fffffffff,92.0,42.0,0.0
835f01fffffffff,8.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,97.0,0.0,0.0
835f10fffffffff,6.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0
835f14fffffffff,14.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0
835f2bfffffffff,65.0,0.0,0.0
835f33fffffffff,1.0,0.0,0.0
835f40fffffffff,4.0,0.0,0.0
835f42fffffffff,4.0,0.0,0.0
835f48fffffffff,2.0,0.0,0.0
835f4afffffffff,39.0,0.0,0.0
835f4bfffffffff,38.0,0.0,0.0
835f50fffffffff,2.0,0.0,0.0
835f54fffffffff,13.0,0.0,0.0
835f58fffffffff,394.0,0.0,0.0
835f5bfffffffff,3.0,0.0,0.0
835f71fffffffff,4.0,0.0,0.0
835f75fffffffff,1.0,0.0,0.0
836605fffffffff,2.0,0.0,0.0
836608fffffffff,655.0,0.0,0.0
83660afffffffff,113.0,0.0,0.0
83660bfffffffff,5.0,0.0,0.0
83660dfffffffff,27.0,0.0,0.0
83660efffffffff,1.0,0.0,0.0
836610fffffffff,476.0,92.0,0.0
836611fffffffff,4.0,0.0,0.0
836612fffffffff,23.0,4.0,0.0
836613fffffffff,434.0,67.0,0.0
836616fffffffff,185.0,14.0,0.0
836619fffffffff,428.0,0.0,0.0
83661afffffffff,3.0,0.0,0.0
83661cfffffffff,19.0,0.0,0.0
83661dfffffffff,77.0,0.0,0.0
836621fffffffff,7.0,0.0,0.0
836629fffffffff,18.0,0.0,0.0
83662bfffffffff,14.0,0.0,0.0
83662dfffffffff,25.0,21.0,0.0
83662efffffffff,30.0,0.0,0.0
836641fffffffff,2.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0
83665afffffffff,2.0,0.0,0.0
8366a0fffffffff,785.0,99.0,0.0
8366a3fffffffff,4.0,0.0,0.0
8366a5fffffffff,5003.0,677.0,0.0
8366a6fffffffff,2.0,0.0,0.0
8366b0fffffffff,1324.0,0.0,0.0
8366b1fffffffff,20.0,2.0,0.0
