cell_id,Poephila personata,Poephila personata personata,Poephila personata leucotis
82945ffffffffff,2.0,2.0,0.0
8294effffffffff,5.0,5.0,0.0
829c0ffffffffff,1.0,0.0,1.0
829c2ffffffffff,2.0,0.0,2.0
