cell_id,Psarocolius angustifrons,Psarocolius angustifrons [angustifrons Group],Psarocolius angustifrons oleagineus
82661ffffffffff,37.0,4.0,0.0
82662ffffffffff,2.0,2.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266cffffffffff,11.0,0.0,0.0
8266d7fffffffff,91.0,2.0,0.0
8266dffffffffff,7.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0
826747fffffffff,2.0,0.0,2.0
82674ffffffffff,13.0,0.0,0.0
82675ffffffffff,24.0,1.0,0.0
828a47fffffffff,15.0,0.0,0.0
828a6ffffffffff,2.0,0.0,0.0
828af7fffffffff,5.0,5.0,0.0
828b27fffffffff,2.0,0.0,0.0
828b2ffffffffff,7.0,2.0,0.0
828b47fffffffff,10.0,10.0,0.0
828b67fffffffff,51.0,51.0,0.0
828b6ffffffffff,3.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828f0ffffffffff,10.0,0.0,0.0
828f6ffffffffff,14.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0
