cell_id,Myadestes ralloides,Myadestes ralloides plumbeiceps,Myadestes ralloides venezuelensis/candelae,Myadestes ralloides ralloides
82660ffffffffff,1.0,0.0,0.0,0.0
82661ffffffffff,10.0,6.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0,0.0
8266d7fffffffff,25.0,8.0,0.0,0.0
8266dffffffffff,2.0,0.0,0.0,0.0
8266e7fffffffff,5.0,1.0,0.0,0.0
8266f7fffffffff,18.0,0.0,0.0,0.0
826747fffffffff,5.0,0.0,1.0,0.0
826757fffffffff,3.0,0.0,0.0,0.0
82675ffffffffff,15.0,0.0,0.0,0.0
828b67fffffffff,33.0,0.0,0.0,33.0
828e67fffffffff,4.0,0.0,0.0,4.0
828f0ffffffffff,4.0,2.0,0.0,0.0
828f2ffffffffff,13.0,0.0,0.0,0.0
828f4ffffffffff,19.0,0.0,0.0,0.0
