cell_id,Pyrrhura picta,Pyrrhura picta eisenmanni,Pyrrhura picta subandina,Pyrrhura picta caeruleiceps,Pyrrhura picta emma,Pyrrhura picta picta
845f00dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f011ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f01bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
845f025ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f02bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f035ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
845f037ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f03bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f03dffffffff,100.0,0.0,0.0,0.0,0.0,7.0
845f0d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f101ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f105ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
845f107ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
845f10dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f113ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f117ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f129ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
845f12bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f139ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f13dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f143ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
845f155ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f161ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
845f163ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
845f1cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f281ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f283ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f287ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f28dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f291ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
845f293ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f295ffffffff,53.0,0.0,0.0,0.0,0.0,0.0
845f297ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
845f299ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
845f29dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
845f2b1ffffffff,31.0,0.0,0.0,0.0,0.0,0.0
845f2b3ffffffff,366.0,0.0,0.0,0.0,0.0,0.0
845f2b5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f2b9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
845f2bbffffffff,396.0,0.0,0.0,0.0,0.0,0.0
845f2c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f331ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f365ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f407ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
845f42bffffffff,17.0,0.0,0.0,0.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f46bffffffff,2.0,0.0,0.0,0.0,0.0,2.0
845f487ffffffff,28.0,0.0,0.0,0.0,4.0,0.0
845f4a3ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
845f4a7ffffffff,10.0,0.0,0.0,0.0,5.0,0.0
845f4abffffffff,30.0,0.0,0.0,0.0,1.0,0.0
845f4b9ffffffff,8.0,0.0,0.0,0.0,2.0,0.0
845f4bdffffffff,38.0,0.0,0.0,0.0,9.0,0.0
845f549ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f59bffffffff,1.0,0.0,0.0,0.0,1.0,0.0
845f637ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f681ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f683ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
845f689ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
845f68bffffffff,28.0,0.0,0.0,0.0,0.0,0.0
845f711ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
845f713ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f759ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466637ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84666b9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84666e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84666ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466a33ffffffff,20.0,15.0,0.0,0.0,0.0,0.0
8467413ffffffff,460.0,0.0,0.0,0.0,168.0,0.0
8467417ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8467425ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8467427ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8467433ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8467435ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8467437ffffffff,143.0,0.0,0.0,0.0,32.0,0.0
84674c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84674c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84674c7ffffffff,13.0,0.0,0.0,0.0,2.0,0.0
84674c9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84674cdffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84674e9ffffffff,11.0,0.0,0.0,0.0,7.0,0.0
84674ebffffffff,11.0,0.0,0.0,0.0,2.0,0.0
84674edffffffff,2.0,0.0,0.0,0.0,1.0,0.0
8467519ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84675c1ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
