cell_id,Agricola pallidus,Agricola pallidus [pallidus Group],Agricola pallidus bafirawari,Agricola pallidus subalaris/erlangeri
83541afffffffff,1.0,0.0,0.0,0.0
8354e1fffffffff,1.0,0.0,0.0,0.0
8354ecfffffffff,1.0,0.0,0.0,0.0
836a45fffffffff,2.0,0.0,0.0,0.0
837a45fffffffff,1.0,0.0,0.0,0.0
837a53fffffffff,2.0,0.0,0.0,0.0
837a64fffffffff,2.0,0.0,0.0,0.0
837a68fffffffff,1.0,0.0,0.0,0.0
837a69fffffffff,2.0,0.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0,0.0
837a6efffffffff,23.0,0.0,0.0,0.0
837b4afffffffff,1.0,0.0,0.0,0.0
83bc8bfffffffff,3.0,3.0,0.0,0.0
83bcd2fffffffff,2.0,2.0,0.0,0.0
83bcdcfffffffff,2.0,2.0,0.0,0.0
