cell_id,Todiramphus saurophagus,Todiramphus saurophagus saurophagus,Todiramphus saurophagus admiralitatis
8472ae3ffffffff,1.0,1.0,0.0
847699dffffffff,6.0,0.0,0.0
8477913ffffffff,3.0,1.0,0.0
8477981ffffffff,1.0,0.0,0.0
84779b9ffffffff,2.0,0.0,0.0
84779c5ffffffff,2.0,0.0,0.0
8495613ffffffff,3.0,0.0,0.0
84956c3ffffffff,5.0,0.0,0.0
84956d3ffffffff,5.0,0.0,0.0
849c907ffffffff,3.0,0.0,0.0
849c9c1ffffffff,1.0,0.0,0.0
849ed13ffffffff,1.0,0.0,0.0
