cell_id,Anthus bogotensis,Anthus bogotensis meridae,Anthus bogotensis [bogotensis Group]
82660ffffffffff,44.0,0.0,0.0
82662ffffffffff,47.0,0.0,0.0
8266d7fffffffff,316.0,0.0,0.0
8266dffffffffff,870.0,0.0,33.0
8266e7fffffffff,164.0,0.0,1.0
828b2ffffffffff,6.0,0.0,0.0
828b67fffffffff,45.0,0.0,0.0
828b6ffffffffff,195.0,0.0,4.0
828e67fffffffff,46.0,0.0,0.0
828e6ffffffffff,21.0,0.0,0.0
828f2ffffffffff,97.0,0.0,7.0
828f47fffffffff,10.0,0.0,0.0
828f57fffffffff,127.0,0.0,0.0
828f5ffffffffff,66.0,0.0,0.0
828f77fffffffff,120.0,0.0,0.0
82b327fffffffff,13.0,0.0,0.0
