cell_id,Cyanistes cyanus,Cyanistes cyanus [cyanus Group],Cyanistes cyanus [flavipectus Group]
84089d1ffffffff,1.0,0.0,0.0
8408c19ffffffff,1.0,0.0,0.0
8408d19ffffffff,1.0,0.0,0.0
840bb03ffffffff,1.0,1.0,0.0
840bb45ffffffff,1.0,0.0,0.0
841125bffffffff,1.0,0.0,0.0
841126dffffffff,3.0,0.0,0.0
8411ab1ffffffff,6.0,6.0,0.0
8411ab9ffffffff,3.0,3.0,0.0
8411ae3ffffffff,43.0,26.0,0.0
841f4a5ffffffff,4.0,0.0,0.0
841f523ffffffff,9.0,0.0,0.0
841f583ffffffff,11.0,0.0,0.0
841f587ffffffff,1.0,0.0,0.0
841f59dffffffff,2.0,0.0,0.0
84200adffffffff,2.0,2.0,0.0
842013dffffffff,1.0,0.0,1.0
84208a5ffffffff,1.0,0.0,0.0
8420e39ffffffff,3.0,0.0,0.0
8420e61ffffffff,2.0,0.0,0.0
8420e63ffffffff,1.0,0.0,0.0
8420e69ffffffff,1.0,0.0,0.0
8420f59ffffffff,1.0,1.0,0.0
842512bffffffff,6.0,6.0,0.0
84255a3ffffffff,4.0,2.0,0.0
84255a7ffffffff,4.0,2.0,0.0
8425ac9ffffffff,7.0,7.0,0.0
8425ae9ffffffff,1.0,1.0,0.0
8431267ffffffff,8.0,0.0,0.0
