cell_id,Pachycephala homeyeri,Pachycephala homeyeri homeyeri,Pachycephala homeyeri major,Pachycephala homeyeri winchelli
836844fffffffff,35.0,0.0,9.0,0.0
836846fffffffff,107.0,0.0,4.0,22.0
836862fffffffff,60.0,0.0,0.0,13.0
836863fffffffff,1.0,0.0,1.0,0.0
836866fffffffff,15.0,0.0,0.0,1.0
836871fffffffff,13.0,0.0,0.0,1.0
836875fffffffff,22.0,0.0,0.0,13.0
8368e4fffffffff,1.0,0.0,0.0,0.0
836959fffffffff,14.0,0.0,0.0,8.0
