cell_id,Cormobates leucophaea,Cormobates leucophaea minor,Cormobates leucophaea [leucophaea Group]
849c215ffffffff,2.0,2.0,0.0
849c239ffffffff,1.0,0.0,0.0
849d0c9ffffffff,2.0,0.0,0.0
849d28bffffffff,1.0,0.0,0.0
849d2adffffffff,2.0,0.0,0.0
849d2e7ffffffff,3.0,0.0,0.0
84be089ffffffff,2.0,0.0,0.0
84be08bffffffff,2.0,0.0,0.0
84be0adffffffff,1.0,0.0,0.0
84be0d3ffffffff,1.0,0.0,0.0
84be199ffffffff,3.0,0.0,0.0
84be4cbffffffff,2.0,0.0,0.0
84be62bffffffff,3.0,0.0,0.0
84be633ffffffff,2.0,0.0,0.0
84be63bffffffff,2.0,0.0,2.0
84be6a1ffffffff,2.0,0.0,0.0
84be6a5ffffffff,1.0,0.0,0.0
84be71dffffffff,1.0,0.0,1.0
84be72dffffffff,10.0,0.0,1.0
84beabbffffffff,2.0,0.0,2.0
84bef6dffffffff,2.0,0.0,0.0
