cell_id,Haematopus ostralegus,Haematopus ostralegus ostralegus/longipes,Haematopus ostralegus osculans
820127fffffffff,42.0,0.0,0.0
820137fffffffff,1359.0,0.0,0.0
820747fffffffff,1481.0,53.0,0.0
82074ffffffffff,147.0,0.0,0.0
820757fffffffff,322.0,6.0,0.0
82075ffffffffff,3655.0,154.0,0.0
820767fffffffff,483.0,52.0,0.0
820777fffffffff,776.0,64.0,0.0
820807fffffffff,100.0,0.0,0.0
820817fffffffff,276.0,0.0,0.0
82082ffffffffff,37.0,0.0,0.0
820837fffffffff,124.0,0.0,0.0
820887fffffffff,211.0,5.0,0.0
82088ffffffffff,96.0,39.0,0.0
820897fffffffff,140.0,0.0,0.0
82089ffffffffff,1183.0,143.0,0.0
8208a7fffffffff,1.0,0.0,0.0
8208affffffffff,4.0,0.0,0.0
8208b7fffffffff,61.0,2.0,0.0
8208c7fffffffff,14.0,0.0,0.0
8208cffffffffff,5.0,0.0,0.0
8208d7fffffffff,127.0,8.0,0.0
8208e7fffffffff,2.0,0.0,0.0
8208effffffffff,153.0,0.0,0.0
8208f7fffffffff,18.0,0.0,0.0
820937fffffffff,40.0,0.0,0.0
82094ffffffffff,56.0,0.0,0.0
82095ffffffffff,153.0,0.0,0.0
820987fffffffff,278.0,0.0,0.0
82098ffffffffff,68.0,0.0,0.0
820997fffffffff,421.0,0.0,0.0
82099ffffffffff,289.0,2.0,0.0
8209a7fffffffff,557.0,11.0,0.0
8209affffffffff,64.0,0.0,0.0
820a37fffffffff,2.0,0.0,0.0
821017fffffffff,3.0,0.0,0.0
821027fffffffff,4.0,0.0,0.0
821097fffffffff,2.0,0.0,0.0
8210affffffffff,2.0,0.0,0.0
8210d7fffffffff,1.0,0.0,0.0
821107fffffffff,32.0,0.0,0.0
821127fffffffff,50.0,0.0,0.0
82112ffffffffff,6.0,0.0,0.0
821137fffffffff,12.0,0.0,0.0
821157fffffffff,15.0,0.0,0.0
82115ffffffffff,1.0,0.0,0.0
821167fffffffff,2.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0
821187fffffffff,10.0,0.0,0.0
82118ffffffffff,18.0,0.0,0.0
8211affffffffff,5.0,0.0,0.0
821617fffffffff,2.0,0.0,0.0
82171ffffffffff,37.0,0.0,0.0
82178ffffffffff,20.0,0.0,0.0
821807fffffffff,608.0,93.0,0.0
82180ffffffffff,42.0,0.0,0.0
821827fffffffff,344.0,39.0,0.0
82182ffffffffff,2217.0,164.0,0.0
821847fffffffff,261.0,11.0,0.0
82184ffffffffff,2087.0,1.0,0.0
82185ffffffffff,369.0,0.0,0.0
821867fffffffff,405.0,0.0,0.0
82186ffffffffff,61.0,0.0,0.0
821877fffffffff,1064.0,70.0,0.0
