cell_id,Muscisaxicola maclovianus,Muscisaxicola maclovianus mentalis,Muscisaxicola maclovianus maclovianus
838e6afffffffff,2.0,0.0,0.0
838e75fffffffff,4.0,0.0,0.0
838f50fffffffff,2.0,0.0,0.0
83a95cfffffffff,4.0,0.0,0.0
83b200fffffffff,12.0,0.0,0.0
83b203fffffffff,6.0,0.0,0.0
83b204fffffffff,7.0,0.0,0.0
83b219fffffffff,2.0,0.0,0.0
83b21dfffffffff,1.0,0.0,0.0
83b222fffffffff,1.0,0.0,0.0
83b224fffffffff,1.0,0.0,0.0
83b226fffffffff,8.0,0.0,0.0
83b241fffffffff,1.0,0.0,0.0
83b243fffffffff,1.0,0.0,0.0
83b258fffffffff,2.0,0.0,0.0
83b259fffffffff,5.0,0.0,0.0
83b25cfffffffff,14.0,0.0,0.0
83b2c0fffffffff,29.0,0.0,0.0
83b2c2fffffffff,2.0,0.0,0.0
83b2c4fffffffff,20.0,2.0,0.0
83b2c5fffffffff,21.0,2.0,0.0
83b2e2fffffffff,2.0,0.0,0.0
83b2e3fffffffff,16.0,0.0,0.0
83b2e4fffffffff,4.0,0.0,0.0
83b2e6fffffffff,1.0,0.0,0.0
83b2edfffffffff,1.0,0.0,0.0
83b300fffffffff,13.0,0.0,0.0
83b301fffffffff,4.0,0.0,0.0
83b303fffffffff,12.0,0.0,0.0
83b304fffffffff,19.0,0.0,0.0
83b30afffffffff,6.0,0.0,0.0
83b30efffffffff,4.0,0.0,0.0
83b31dfffffffff,10.0,0.0,0.0
83c205fffffffff,12.0,0.0,0.0
83c2e2fffffffff,2.0,0.0,0.0
83c2e3fffffffff,11.0,0.0,0.0
83c2e9fffffffff,13.0,0.0,0.0
83c2f1fffffffff,4.0,0.0,0.0
83c320fffffffff,3.0,0.0,0.0
83c32efffffffff,1.0,0.0,0.0
83c364fffffffff,2.0,0.0,0.0
83ce80fffffffff,24.0,0.0,0.0
83ce81fffffffff,7.0,0.0,0.0
83ce83fffffffff,8.0,0.0,0.0
83ce88fffffffff,3.0,0.0,0.0
83ce8cfffffffff,39.0,0.0,0.0
83ce93fffffffff,4.0,0.0,0.0
83ce98fffffffff,31.0,0.0,0.0
83ce99fffffffff,5.0,0.0,0.0
83ce9cfffffffff,13.0,0.0,0.0
83cea0fffffffff,6.0,0.0,0.0
83cea2fffffffff,3.0,0.0,0.0
83ceacfffffffff,1.0,0.0,0.0
83cf12fffffffff,12.0,0.0,0.0
83cf16fffffffff,4.0,0.0,0.0
83cf85fffffffff,3.0,0.0,0.0
83cf88fffffffff,11.0,0.0,0.0
83cf8afffffffff,8.0,0.0,0.0
83cf8bfffffffff,7.0,0.0,0.0
83cf8cfffffffff,3.0,0.0,0.0
83cf8dfffffffff,8.0,0.0,0.0
83cf8efffffffff,6.0,0.0,0.0
83cf90fffffffff,3.0,0.0,0.0
83cfa4fffffffff,10.0,0.0,0.0
83cfaafffffffff,4.0,0.0,0.0
83de62fffffffff,1.0,0.0,0.0
83de70fffffffff,2.0,0.0,0.0
83de71fffffffff,1.0,0.0,0.0
83df45fffffffff,4.0,4.0,0.0
83df4dfffffffff,7.0,0.0,0.0
83df68fffffffff,4.0,0.0,0.0
83df69fffffffff,22.0,0.0,0.0
83df6afffffffff,1.0,0.0,0.0
83df6dfffffffff,1.0,0.0,0.0
