cell_id,Alectoris graeca,Alectoris graeca [graeca Group],Alectoris graeca whitakeri
831e80fffffffff,1.0,0.0,0.0
831ea4fffffffff,2.0,0.0,0.0
831eacfffffffff,1.0,0.0,0.0
831eaefffffffff,1.0,0.0,0.0
831ec4fffffffff,17.0,2.0,0.0
831ef0fffffffff,1.0,0.0,0.0
831ef1fffffffff,3.0,0.0,0.0
831ef6fffffffff,1.0,0.0,0.0
831f88fffffffff,1.0,0.0,0.0
831f8afffffffff,2.0,0.0,0.0
831f8bfffffffff,7.0,0.0,0.0
831f98fffffffff,1.0,1.0,0.0
831f99fffffffff,2.0,0.0,0.0
831f9afffffffff,3.0,0.0,0.0
831f9efffffffff,2.0,0.0,0.0
