cell_id,Chaetura brachyura,Chaetura brachyura [brachyura Group],Chaetura brachyura ocypetes
845e429ffffffff,4.0,0.0,0.0
845e467ffffffff,1.0,0.0,0.0
845e469ffffffff,10.0,2.0,0.0
845e719ffffffff,1.0,0.0,0.0
845e71bffffffff,4.0,0.0,0.0
845f583ffffffff,2.0,2.0,0.0
845f5b5ffffffff,6.0,1.0,0.0
845f5b9ffffffff,1.0,1.0,0.0
845f5bdffffffff,4.0,0.0,0.0
8466107ffffffff,6.0,0.0,0.0
846610bffffffff,4.0,0.0,0.0
8466113ffffffff,13.0,0.0,0.0
8466131ffffffff,2.0,0.0,0.0
8466139ffffffff,8.0,0.0,0.0
846613bffffffff,3.0,0.0,0.0
84661b5ffffffff,1.0,0.0,0.0
84661bdffffffff,5.0,0.0,0.0
84661c7ffffffff,2.0,0.0,0.0
84661d1ffffffff,1.0,1.0,0.0
84661e9ffffffff,2.0,0.0,0.0
84661ebffffffff,29.0,0.0,0.0
8466227ffffffff,1.0,0.0,0.0
846629bffffffff,4.0,0.0,0.0
84662d3ffffffff,5.0,0.0,0.0
8466a0bffffffff,4.0,2.0,0.0
8466a51ffffffff,14.0,0.0,0.0
8466a5bffffffff,1.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0
8466b53ffffffff,3.0,0.0,0.0
8466d0dffffffff,9.0,0.0,0.0
8466d55ffffffff,7.0,0.0,0.0
8466dadffffffff,5.0,0.0,0.0
8466dcbffffffff,1.0,0.0,0.0
8466de1ffffffff,5.0,1.0,0.0
8466de3ffffffff,4.0,0.0,0.0
8466f0bffffffff,1.0,0.0,0.0
8466f11ffffffff,2.0,0.0,0.0
8466f59ffffffff,5.0,0.0,0.0
846743bffffffff,1.0,1.0,0.0
84674a5ffffffff,3.0,0.0,0.0
84674e1ffffffff,6.0,0.0,0.0
8467599ffffffff,5.0,0.0,0.0
84675c7ffffffff,12.0,0.0,0.0
84675ddffffffff,1.0,0.0,0.0
84675ebffffffff,1.0,0.0,0.0
84815c9ffffffff,2.0,0.0,0.0
84815e9ffffffff,2.0,0.0,0.0
8481713ffffffff,2.0,0.0,0.0
848b221ffffffff,1.0,1.0,0.0
848b44dffffffff,1.0,1.0,0.0
848b617ffffffff,6.0,6.0,0.0
848b63bffffffff,6.0,6.0,0.0
848f0dbffffffff,1.0,0.0,0.0
848f295ffffffff,8.0,0.0,0.0
848f2ebffffffff,2.0,0.0,2.0
848f50dffffffff,4.0,0.0,4.0
848f545ffffffff,6.0,0.0,2.0
848f547ffffffff,1.0,0.0,1.0
84a8ec9ffffffff,1.0,0.0,0.0
