cell_id,Arremon aurantiirostris,Arremon aurantiirostris [aurantiirostris Group],Arremon aurantiirostris erythrorhynchus,Arremon aurantiirostris spectabilis
8445203ffffffff,20.0,0.0,0.0,0.0
8445207ffffffff,44.0,0.0,0.0,0.0
8445211ffffffff,2.0,0.0,0.0,0.0
8445213ffffffff,2.0,0.0,0.0,0.0
8445215ffffffff,263.0,0.0,0.0,0.0
8445217ffffffff,233.0,0.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0,0.0
844521dffffffff,19.0,0.0,0.0,0.0
8445221ffffffff,171.0,0.0,0.0,0.0
8445225ffffffff,245.0,0.0,0.0,0.0
844522dffffffff,4.0,0.0,0.0,0.0
8445233ffffffff,704.0,0.0,0.0,0.0
844523bffffffff,30.0,0.0,0.0,0.0
8445253ffffffff,2.0,0.0,0.0,0.0
8445257ffffffff,41.0,0.0,0.0,0.0
8445263ffffffff,4.0,0.0,0.0,0.0
84452c5ffffffff,2.0,0.0,0.0,0.0
84452d9ffffffff,38.0,0.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0,0.0
84452e1ffffffff,147.0,0.0,0.0,0.0
84452e5ffffffff,673.0,0.0,0.0,0.0
84452e9ffffffff,41.0,0.0,0.0,0.0
84452edffffffff,62.0,0.0,0.0,0.0
8445305ffffffff,6.0,0.0,0.0,0.0
8445319ffffffff,1.0,0.0,0.0,0.0
844532bffffffff,50.0,0.0,0.0,0.0
8445343ffffffff,25.0,0.0,0.0,0.0
844534dffffffff,7.0,0.0,0.0,0.0
8445351ffffffff,3.0,0.0,0.0,0.0
8445363ffffffff,24.0,0.0,0.0,0.0
8445365ffffffff,42.0,0.0,0.0,0.0
8445367ffffffff,20.0,0.0,0.0,0.0
846601bffffffff,8.0,0.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0,0.0
8466081ffffffff,1.0,0.0,0.0,0.0
8466085ffffffff,4.0,0.0,0.0,0.0
8466089ffffffff,3.0,0.0,0.0,0.0
