cell_id,Calendulauda africanoides,Calendulauda africanoides [africanoides Group],Calendulauda africanoides alopex/intercedens
826a4ffffffffff,1.0,0.0,1.0
826a5ffffffffff,21.0,0.0,21.0
827a47fffffffff,394.0,0.0,365.0
827a4ffffffffff,3.0,0.0,3.0
827a5ffffffffff,2.0,0.0,2.0
827a67fffffffff,188.0,0.0,181.0
827a6ffffffffff,350.0,0.0,310.0
827acffffffffff,10.0,0.0,10.0
827adffffffffff,12.0,0.0,12.0
827aeffffffffff,110.0,0.0,99.0
82966ffffffffff,1.0,0.0,0.0
829677fffffffff,1.0,1.0,0.0
829697fffffffff,329.0,0.0,322.0
829727fffffffff,1.0,1.0,0.0
82972ffffffffff,3.0,3.0,0.0
829747fffffffff,112.0,80.0,0.0
82974ffffffffff,98.0,78.0,0.0
829757fffffffff,11.0,8.0,0.0
82975ffffffffff,29.0,29.0,0.0
82976ffffffffff,4.0,4.0,0.0
829777fffffffff,4.0,4.0,0.0
82ac87fffffffff,83.0,73.0,0.0
82ac97fffffffff,3.0,3.0,0.0
82aca7fffffffff,59.0,50.0,0.0
82acaffffffffff,1.0,1.0,0.0
82ad87fffffffff,70.0,64.0,0.0
82ad8ffffffffff,1.0,1.0,0.0
82ad97fffffffff,35.0,21.0,0.0
82ad9ffffffffff,10.0,10.0,0.0
82ada7fffffffff,58.0,53.0,0.0
82adb7fffffffff,55.0,50.0,0.0
82bc5ffffffffff,3.0,3.0,0.0
82bc8ffffffffff,5.0,5.0,0.0
82bcc7fffffffff,3.0,3.0,0.0
82bccffffffffff,1.0,1.0,0.0
82bcdffffffffff,21.0,18.0,0.0
82bceffffffffff,81.0,76.0,0.0
