cell_id,Sclerurus obscurior,Sclerurus obscurior andinus,Sclerurus obscurior obscurior,Sclerurus obscurior peruvianus,Sclerurus obscurior macconnelli,Sclerurus obscurior bahiae
835f00fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f14fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f2bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f54fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83661afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,163.0,71.0,0.0,0.0,0.0,0.0
83661cfffffffff,47.0,0.0,0.0,0.0,0.0,0.0
83661dfffffffff,53.0,15.0,0.0,0.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8366c6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366d0fffffffff,80.0,7.0,0.0,0.0,0.0,0.0
8366d2fffffffff,11.0,0.0,3.0,0.0,0.0,0.0
8366d3fffffffff,329.0,0.0,63.0,0.0,0.0,0.0
8366dafffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,4.0,0.0,0.0,1.0,0.0,0.0
8366ddfffffffff,3.0,0.0,0.0,2.0,0.0,0.0
8366defffffffff,74.0,0.0,0.0,12.0,0.0,0.0
8366e0fffffffff,19.0,9.0,0.0,0.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,17.0,2.0,0.0,0.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366f0fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,244.0,53.0,7.0,0.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83675afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838142fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
838144fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83814afffffffff,15.0,0.0,0.0,0.0,0.0,0.0
83814dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83814efffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83815dfffffffff,17.0,0.0,0.0,0.0,0.0,0.0
838171fffffffff,50.0,0.0,0.0,0.0,44.0,0.0
838a00fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
838a15fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838a31fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838a92fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838aaafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838af2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838af4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838af6fffffffff,49.0,0.0,0.0,0.0,2.0,0.0
838b2cfffffffff,3.0,0.0,0.0,1.0,0.0,0.0
838b44fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838b46fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838b4efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838b5cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838b61fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
838b63fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
838b6efffffffff,18.0,0.0,0.0,0.0,0.0,0.0
838b74fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838b9dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838f0dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
838f55fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838f72fffffffff,9.0,0.0,0.0,2.0,0.0,0.0
