cell_id,Molothrus aeneus,Molothrus aeneus [aeneus Group],Molothrus aeneus armenti
8326cafffffffff,4.0,0.0,0.0
8326cbfffffffff,5.0,0.0,0.0
8326d0fffffffff,2.0,0.0,0.0
8326d2fffffffff,7.0,0.0,0.0
8326d3fffffffff,25.0,0.0,0.0
8326d4fffffffff,13.0,0.0,0.0
8326d5fffffffff,1.0,0.0,0.0
8326d8fffffffff,1.0,0.0,0.0
8326dafffffffff,6.0,2.0,0.0
8326dbfffffffff,8.0,0.0,0.0
8326dcfffffffff,1.0,0.0,0.0
8326defffffffff,25.0,0.0,0.0
8326f3fffffffff,24.0,0.0,0.0
832984fffffffff,3.0,0.0,0.0
832986fffffffff,28.0,0.0,0.0
83298efffffffff,2.0,0.0,0.0
8329a2fffffffff,18.0,0.0,0.0
8329a3fffffffff,1.0,0.0,0.0
8329a4fffffffff,35.0,0.0,0.0
8329a6fffffffff,29.0,0.0,0.0
8329aefffffffff,2.0,0.0,0.0
8329b0fffffffff,37.0,0.0,0.0
8329b1fffffffff,24.0,0.0,0.0
8329b3fffffffff,3.0,0.0,0.0
8329b5fffffffff,31.0,0.0,0.0
8329b6fffffffff,6.0,0.0,0.0
832ad5fffffffff,21.0,0.0,0.0
834412fffffffff,6.0,0.0,0.0
834413fffffffff,71.0,1.0,0.0
834414fffffffff,7.0,0.0,0.0
834416fffffffff,2.0,0.0,0.0
83441afffffffff,31.0,5.0,0.0
83441bfffffffff,15.0,0.0,0.0
83441efffffffff,580.0,22.0,0.0
834440fffffffff,26.0,1.0,0.0
834442fffffffff,4.0,0.0,0.0
834444fffffffff,8.0,0.0,0.0
834445fffffffff,64.0,0.0,0.0
834446fffffffff,81.0,0.0,0.0
834450fffffffff,241.0,0.0,0.0
834455fffffffff,25.0,0.0,0.0
834463fffffffff,5.0,0.0,0.0
83446cfffffffff,8.0,0.0,0.0
83446dfffffffff,33.0,0.0,0.0
83446efffffffff,16.0,0.0,0.0
834471fffffffff,5.0,0.0,0.0
834473fffffffff,86.0,0.0,0.0
8344a1fffffffff,24.0,0.0,0.0
8344a5fffffffff,2.0,0.0,0.0
8344a8fffffffff,10.0,0.0,0.0
8344a9fffffffff,176.0,1.0,0.0
8344acfffffffff,30.0,0.0,0.0
8344adfffffffff,1.0,0.0,0.0
8344aefffffffff,14.0,0.0,0.0
8344e4fffffffff,1.0,0.0,0.0
8344e5fffffffff,3.0,0.0,0.0
8344e6fffffffff,4.0,0.0,0.0
8344f5fffffffff,9.0,0.0,0.0
8344f6fffffffff,2.0,0.0,0.0
834505fffffffff,21.0,0.0,0.0
83450dfffffffff,3.0,0.0,0.0
834521fffffffff,5.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0
83452afffffffff,26.0,0.0,0.0
83452efffffffff,44.0,0.0,0.0
834531fffffffff,2.0,0.0,0.0
83480efffffffff,1.0,0.0,0.0
834810fffffffff,2.0,0.0,0.0
834814fffffffff,9.0,0.0,0.0
834842fffffffff,1.0,0.0,0.0
83484afffffffff,2.0,0.0,0.0
834855fffffffff,1.0,0.0,0.0
834858fffffffff,7.0,0.0,0.0
834859fffffffff,3.0,0.0,0.0
83485afffffffff,3.0,0.0,0.0
83485bfffffffff,38.0,0.0,0.0
834873fffffffff,1.0,0.0,0.0
834880fffffffff,2.0,2.0,0.0
834883fffffffff,9.0,0.0,0.0
834886fffffffff,1.0,1.0,0.0
834889fffffffff,2.0,2.0,0.0
83488afffffffff,3.0,0.0,0.0
83488cfffffffff,2.0,0.0,0.0
83488efffffffff,6.0,0.0,0.0
834890fffffffff,4.0,1.0,0.0
834891fffffffff,4.0,2.0,0.0
834892fffffffff,5.0,0.0,0.0
834893fffffffff,13.0,0.0,0.0
834895fffffffff,18.0,0.0,0.0
834898fffffffff,30.0,0.0,0.0
834899fffffffff,5.0,0.0,0.0
83489afffffffff,2.0,0.0,0.0
83489bfffffffff,4.0,0.0,0.0
83489cfffffffff,25.0,0.0,0.0
83489efffffffff,24.0,0.0,0.0
8348a2fffffffff,2.0,2.0,0.0
8348acfffffffff,1.0,0.0,0.0
8348b1fffffffff,2.0,1.0,0.0
8348b3fffffffff,56.0,3.0,0.0
8348c3fffffffff,4.0,0.0,0.0
8348c5fffffffff,6.0,0.0,0.0
8348c6fffffffff,14.0,0.0,0.0
8348cdfffffffff,25.0,0.0,0.0
8348d1fffffffff,8.0,0.0,0.0
8348d2fffffffff,5.0,0.0,0.0
8348d3fffffffff,7.0,0.0,0.0
8348d4fffffffff,6.0,0.0,0.0
8348d5fffffffff,6.0,0.0,0.0
8348d6fffffffff,2.0,0.0,0.0
8348d8fffffffff,12.0,0.0,0.0
8348dcfffffffff,14.0,0.0,0.0
8348defffffffff,2.0,0.0,0.0
8348e8fffffffff,62.0,1.0,0.0
8348eafffffffff,9.0,0.0,0.0
8348ebfffffffff,78.0,0.0,0.0
8348ecfffffffff,7.0,0.0,0.0
8348eefffffffff,25.0,5.0,0.0
8348f2fffffffff,3.0,3.0,0.0
8348f3fffffffff,2.0,0.0,0.0
834982fffffffff,2.0,0.0,0.0
834992fffffffff,2.0,0.0,0.0
834994fffffffff,6.0,3.0,0.0
834995fffffffff,1.0,0.0,0.0
834996fffffffff,193.0,16.0,0.0
834998fffffffff,10.0,7.0,0.0
83499cfffffffff,2.0,0.0,0.0
8349a8fffffffff,1.0,0.0,0.0
8349a9fffffffff,3.0,3.0,0.0
8349abfffffffff,1.0,0.0,0.0
8349b3fffffffff,23.0,21.0,0.0
836610fffffffff,5.0,0.0,0.0
836616fffffffff,10.0,0.0,0.0
836620fffffffff,4.0,0.0,4.0
836622fffffffff,7.0,0.0,0.0
8366a0fffffffff,31.0,0.0,0.0
8366a5fffffffff,9.0,0.0,0.0
8366b0fffffffff,1.0,1.0,0.0
8366b4fffffffff,14.0,2.0,0.0
8366b5fffffffff,73.0,9.0,0.0
8366b6fffffffff,2.0,0.0,0.0
836d04fffffffff,1.0,0.0,0.0
836d21fffffffff,4.0,0.0,0.0
836d23fffffffff,4.0,2.0,0.0
836d25fffffffff,3.0,1.0,0.0
836d28fffffffff,3.0,0.0,0.0
836d29fffffffff,6.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d2dfffffffff,8.0,0.0,0.0
836d31fffffffff,10.0,2.0,0.0
836d32fffffffff,2.0,0.0,0.0
836d34fffffffff,17.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d66fffffffff,2.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0
836d69fffffffff,10.0,7.0,0.0
836d6bfffffffff,5.0,0.0,0.0
836d76fffffffff,4.0,0.0,0.0
