cell_id,Lepidocolaptes squamatus,Lepidocolaptes squamatus wagleri,Lepidocolaptes squamatus squamatus
8481029ffffffff,12.0,2.0,10.0
8481049ffffffff,9.0,3.0,6.0
8481061ffffffff,1.0,0.0,1.0
8481211ffffffff,93.0,82.0,0.0
8481215ffffffff,29.0,13.0,16.0
8481219ffffffff,1.0,1.0,0.0
848121dffffffff,6.0,0.0,6.0
848123bffffffff,12.0,1.0,11.0
848124bffffffff,152.0,116.0,16.0
84812bdffffffff,9.0,6.0,0.0
8481303ffffffff,22.0,0.0,6.0
8481307ffffffff,13.0,0.0,10.0
8481327ffffffff,1.0,0.0,0.0
8481331ffffffff,4.0,0.0,2.0
8481339ffffffff,101.0,0.0,32.0
8481343ffffffff,9.0,0.0,4.0
848134dffffffff,4.0,0.0,3.0
8481363ffffffff,7.0,0.0,0.0
84a8061ffffffff,2.0,0.0,0.0
84a8067ffffffff,6.0,0.0,0.0
84a8105ffffffff,3.0,0.0,0.0
84a8107ffffffff,11.0,0.0,2.0
84a810bffffffff,4.0,0.0,2.0
84a810dffffffff,1.0,0.0,0.0
84a8123ffffffff,5.0,0.0,1.0
84a8125ffffffff,13.0,0.0,4.0
84a8127ffffffff,120.0,0.0,41.0
84a8139ffffffff,1.0,0.0,0.0
84a8143ffffffff,1.0,0.0,1.0
84a8157ffffffff,3.0,0.0,0.0
84a815bffffffff,21.0,0.0,1.0
84a8163ffffffff,2.0,0.0,2.0
84a8805ffffffff,70.0,0.0,8.0
84a8807ffffffff,18.0,0.0,18.0
84a8809ffffffff,1.0,0.0,1.0
84a880dffffffff,8.0,0.0,4.0
84a8811ffffffff,90.0,0.0,14.0
84a8819ffffffff,4.0,0.0,2.0
84a881bffffffff,23.0,0.0,1.0
84a8821ffffffff,6.0,0.0,1.0
84a8823ffffffff,1.0,0.0,0.0
84a8825ffffffff,5.0,0.0,2.0
84a8829ffffffff,8.0,0.0,0.0
84a882dffffffff,90.0,0.0,33.0
84a883dffffffff,1.0,0.0,1.0
84a8849ffffffff,264.0,0.0,15.0
84a884bffffffff,2.0,0.0,0.0
84a884dffffffff,11.0,0.0,6.0
84a8857ffffffff,8.0,0.0,8.0
84a8863ffffffff,9.0,0.0,3.0
84a8867ffffffff,8.0,0.0,0.0
84a8895ffffffff,2.0,0.0,2.0
84a88bbffffffff,8.0,2.0,6.0
84a88e9ffffffff,2.0,0.0,0.0
84a8917ffffffff,33.0,0.0,8.0
84a8919ffffffff,40.0,0.0,10.0
84a891bffffffff,6.0,0.0,0.0
84a8953ffffffff,6.0,0.0,2.0
84a8a07ffffffff,1.0,0.0,0.0
84a8a11ffffffff,21.0,0.0,10.0
84a8a13ffffffff,563.0,0.0,127.0
84a8a15ffffffff,25.0,0.0,1.0
84a8a17ffffffff,57.0,0.0,10.0
84a8a19ffffffff,15.0,0.0,4.0
84a8a1dffffffff,11.0,0.0,2.0
84a8a23ffffffff,152.0,0.0,21.0
84a8a27ffffffff,42.0,0.0,18.0
84a8a31ffffffff,11.0,0.0,0.0
84a8a33ffffffff,2.0,0.0,0.0
84a8a35ffffffff,42.0,0.0,10.0
84a8a37ffffffff,4.0,0.0,0.0
84a8a3dffffffff,71.0,0.0,16.0
84a8a53ffffffff,8.0,0.0,1.0
84a8a85ffffffff,2.0,0.0,0.0
84a8a97ffffffff,3.0,0.0,0.0
84a8aadffffffff,35.0,0.0,13.0
84a8ac1ffffffff,1.0,0.0,1.0
84a8ac5ffffffff,7.0,0.0,7.0
84a8ac9ffffffff,21.0,0.0,7.0
84a8acbffffffff,1.0,0.0,1.0
84a8acdffffffff,2.0,0.0,0.0
84a8ad1ffffffff,8.0,0.0,5.0
84a8ad5ffffffff,2.0,0.0,0.0
84a8ae1ffffffff,4.0,0.0,1.0
84a8ae3ffffffff,7.0,0.0,0.0
84a8ae5ffffffff,34.0,0.0,31.0
84a8ae9ffffffff,9.0,0.0,0.0
84a8aebffffffff,2.0,0.0,0.0
84a8b13ffffffff,2.0,0.0,2.0
