cell_id,Phyllastrephus cabanisi,Phyllastrephus cabanisi placidus,Phyllastrephus cabanisi [cabanisi Group]
826ac7fffffffff,17.0,0.0,6.0
826acffffffffff,6.0,0.0,0.0
826adffffffffff,362.0,0.0,48.0
826aeffffffffff,2.0,0.0,0.0
827a47fffffffff,137.0,56.0,0.0
827a4ffffffffff,342.0,0.0,54.0
827a67fffffffff,63.0,27.0,0.0
827a6ffffffffff,318.0,83.0,3.0
827b4ffffffffff,103.0,49.0,0.0
828337fffffffff,4.0,0.0,0.0
8283a7fffffffff,16.0,0.0,1.0
8283affffffffff,3.0,0.0,3.0
829607fffffffff,37.0,0.0,13.0
82960ffffffffff,24.0,0.0,9.0
829617fffffffff,14.0,0.0,8.0
829657fffffffff,12.0,0.0,0.0
82966ffffffffff,1.0,0.0,0.0
829677fffffffff,5.0,0.0,0.0
82968ffffffffff,1.0,0.0,0.0
829697fffffffff,111.0,65.0,0.0
8296a7fffffffff,5.0,1.0,0.0
8296b7fffffffff,41.0,24.0,0.0
82978ffffffffff,15.0,5.0,0.0
8297affffffffff,34.0,20.0,0.0
