cell_id,Cepphus columba,Cepphus columba snowi,Cepphus columba [columba Group]
840c143ffffffff,137.0,0.0,0.0
840c145ffffffff,3.0,0.0,0.0
840c147ffffffff,24.0,0.0,0.0
840c14dffffffff,56.0,0.0,0.0
840c409ffffffff,4.0,0.0,0.0
840c40dffffffff,1.0,0.0,0.0
840c421ffffffff,191.0,0.0,0.0
840c425ffffffff,584.0,0.0,0.0
840c427ffffffff,373.0,0.0,0.0
840c429ffffffff,2.0,0.0,0.0
840c42bffffffff,4.0,0.0,0.0
840c42dffffffff,1129.0,0.0,0.0
840c441ffffffff,37.0,0.0,0.0
840c443ffffffff,3.0,0.0,0.0
840c445ffffffff,6.0,0.0,0.0
840c447ffffffff,6.0,0.0,0.0
840c455ffffffff,59.0,0.0,0.0
840c461ffffffff,98.0,0.0,0.0
840c463ffffffff,2.0,0.0,0.0
840c469ffffffff,6.0,0.0,0.0
840c46bffffffff,8.0,0.0,0.0
840c501ffffffff,3.0,0.0,0.0
840c503ffffffff,253.0,0.0,0.0
840c50bffffffff,4.0,0.0,0.0
840c511ffffffff,314.0,0.0,0.0
840c515ffffffff,179.0,0.0,0.0
840c51bffffffff,13.0,0.0,0.0
840c51dffffffff,712.0,0.0,8.0
840c523ffffffff,6.0,0.0,0.0
840c53dffffffff,1.0,0.0,0.0
840c5a1ffffffff,104.0,0.0,0.0
840c5a5ffffffff,436.0,0.0,0.0
840c5a7ffffffff,118.0,0.0,0.0
840c5adffffffff,478.0,0.0,0.0
840c5e5ffffffff,7.0,0.0,0.0
840c5e7ffffffff,3.0,0.0,0.0
840c68bffffffff,31.0,0.0,0.0
840c699ffffffff,3.0,0.0,0.0
840c6adffffffff,2.0,0.0,0.0
840c6d3ffffffff,4.0,0.0,0.0
840c809ffffffff,18.0,0.0,0.0
840c80bffffffff,2.0,0.0,0.0
840ca43ffffffff,2251.0,0.0,0.0
840ca53ffffffff,2.0,0.0,0.0
840ca55ffffffff,14.0,0.0,0.0
840cb6dffffffff,2.0,0.0,0.0
