cell_id,Leucocarbo chalconotus,Leucocarbo chalconotus chalconotus,Leucocarbo chalconotus stewarti
83da84fffffffff,11.0,5.0,0.0
83da86fffffffff,33.0,8.0,0.0
83daaafffffffff,71.0,0.0,61.0
83dab3fffffffff,5.0,1.0,0.0
