cell_id,Systellura longirostris,Systellura longirostris roraimae,Systellura longirostris ruficervix,Systellura longirostris atripunctata,Systellura longirostris bifasciata/patagonica,Systellura longirostris longirostris,Systellura longirostris mochaensis
83661bfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,6.0,0.0,4.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83674cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83674efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838011fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838188fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838a23fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
838b61fffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0
838e63fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838e66fffffffff,14.0,0.0,0.0,11.0,0.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
838f59fffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
83a88efffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83a96afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83b209fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83b21dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b242fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83b243fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83b24dfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
83b251fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83b256fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83b25cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b25efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83b269fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b26bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b26dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b270fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83b274fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2c4fffffffff,17.0,0.0,0.0,0.0,4.0,0.0,0.0
83b2c5fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2cefffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
83b2e2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2e3fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83b305fffffffff,3.0,0.0,0.0,1.0,0.0,0.0,0.0
83b349fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b34dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83b35afffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83b373fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2c1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2c5fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2ccfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2d8fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2e3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2eafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2ebfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83c2f2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83c32efffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
83c354fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83c371fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce83fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
83cf12fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf91fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
