cell_id,Geokichla citrina,Geokichla citrina [citrina Group],Geokichla citrina cyanota,Geokichla citrina albogularis/andamanensis,Geokichla citrina [aurimacula Group]
82309ffffffffff,4.0,0.0,0.0,0.0,0.0
823c07fffffffff,11.0,0.0,0.0,0.0,0.0
823c17fffffffff,12.0,8.0,0.0,0.0,0.0
823c1ffffffffff,28.0,0.0,0.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0,0.0,0.0
823c5ffffffffff,6.0,0.0,0.0,0.0,0.0
823c8ffffffffff,16.0,2.0,3.0,0.0,0.0
823c97fffffffff,22.0,22.0,0.0,0.0,0.0
823caffffffffff,1.0,0.0,0.0,0.0,0.0
823cb7fffffffff,1.0,0.0,1.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0,0.0,0.0
823cf7fffffffff,61.0,5.0,0.0,0.0,0.0
823d17fffffffff,88.0,0.0,0.0,0.0,0.0
823d1ffffffffff,3.0,0.0,0.0,0.0,0.0
823d37fffffffff,34.0,0.0,0.0,0.0,0.0
823d87fffffffff,37.0,3.0,0.0,0.0,0.0
823d8ffffffffff,43.0,3.0,0.0,0.0,0.0
823d9ffffffffff,2.0,0.0,0.0,0.0,0.0
823da7fffffffff,22.0,1.0,0.0,0.0,0.0
823daffffffffff,28.0,2.0,0.0,0.0,0.0
823db7fffffffff,15.0,0.0,0.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0,0.0,2.0
82416ffffffffff,3.0,0.0,0.0,0.0,3.0
824177fffffffff,3.0,0.0,0.0,0.0,3.0
82424ffffffffff,2.0,0.0,0.0,0.0,0.0
8242c7fffffffff,19.0,0.0,7.0,0.0,0.0
8242cffffffffff,18.0,0.0,0.0,0.0,0.0
8242dffffffffff,12.0,0.0,0.0,0.0,0.0
824ba7fffffffff,16.0,0.0,0.0,0.0,0.0
824bb7fffffffff,25.0,0.0,0.0,0.0,0.0
826007fffffffff,171.0,0.0,2.0,0.0,0.0
826017fffffffff,249.0,18.0,101.0,0.0,0.0
82601ffffffffff,14.0,3.0,9.0,0.0,0.0
826027fffffffff,27.0,0.0,4.0,0.0,0.0
826037fffffffff,351.0,4.0,63.0,0.0,0.0
82608ffffffffff,17.0,0.0,7.0,0.0,0.0
826097fffffffff,2.0,0.0,2.0,0.0,0.0
8260a7fffffffff,10.0,0.0,2.0,0.0,0.0
8260affffffffff,69.0,0.0,28.0,0.0,0.0
8260b7fffffffff,23.0,0.0,0.0,0.0,0.0
82618ffffffffff,33.0,7.0,9.0,0.0,0.0
826417fffffffff,23.0,0.0,0.0,0.0,0.0
826437fffffffff,3.0,0.0,0.0,0.0,0.0
826487fffffffff,3.0,1.0,0.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0,0.0,0.0
8264a7fffffffff,13.0,1.0,0.0,0.0,0.0
8264b7fffffffff,5.0,0.0,0.0,0.0,0.0
826507fffffffff,39.0,0.0,0.0,0.0,0.0
82651ffffffffff,4.0,0.0,0.0,0.0,0.0
826527fffffffff,38.0,1.0,0.0,0.0,0.0
82658ffffffffff,1.0,0.0,0.0,0.0,0.0
826597fffffffff,5.0,2.0,0.0,0.0,0.0
82659ffffffffff,6.0,0.0,0.0,0.0,0.0
826817fffffffff,6.0,1.0,0.0,0.0,0.0
