cell_id,Zimmerius chrysops,Zimmerius chrysops minimus/cumanensis,Zimmerius chrysops chrysops
845f487ffffffff,11.0,0.0,0.0
845f491ffffffff,12.0,0.0,0.0
845f4a3ffffffff,1.0,0.0,0.0
845f4a7ffffffff,8.0,5.0,0.0
845f4abffffffff,41.0,0.0,0.0
845f4b9ffffffff,5.0,0.0,0.0
845f4bdffffffff,45.0,0.0,0.0
8466013ffffffff,3.0,0.0,0.0
846601bffffffff,214.0,0.0,21.0
8466081ffffffff,66.0,0.0,0.0
8466083ffffffff,37.0,0.0,0.0
8466085ffffffff,44.0,0.0,0.0
8466087ffffffff,83.0,0.0,0.0
8466089ffffffff,201.0,0.0,2.0
846608dffffffff,1385.0,0.0,24.0
8466091ffffffff,4.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0
8466099ffffffff,4.0,0.0,0.0
84660a3ffffffff,24.0,0.0,0.0
84660a7ffffffff,31.0,0.0,0.0
84660a9ffffffff,2.0,0.0,0.0
84660abffffffff,8.0,0.0,0.0
84660b1ffffffff,14.0,0.0,0.0
84660b3ffffffff,100.0,0.0,0.0
84660b5ffffffff,25.0,0.0,0.0
84660b7ffffffff,117.0,0.0,0.0
84660b9ffffffff,176.0,0.0,0.0
84660bbffffffff,55.0,0.0,4.0
84660bdffffffff,553.0,0.0,0.0
84660c1ffffffff,43.0,0.0,2.0
84660c3ffffffff,25.0,0.0,0.0
84660c7ffffffff,27.0,0.0,2.0
84660c9ffffffff,1.0,0.0,0.0
84660cbffffffff,113.0,0.0,0.0
84660cdffffffff,7.0,0.0,0.0
84660d1ffffffff,3.0,0.0,0.0
84660d3ffffffff,2.0,0.0,0.0
84660d9ffffffff,2.0,0.0,0.0
84660ddffffffff,84.0,0.0,2.0
84660e5ffffffff,2.0,0.0,0.0
84660ebffffffff,3.0,0.0,0.0
8466113ffffffff,11.0,0.0,0.0
8466181ffffffff,137.0,0.0,2.0
8466183ffffffff,740.0,0.0,3.0
8466185ffffffff,5.0,0.0,0.0
8466187ffffffff,77.0,0.0,2.0
8466189ffffffff,51.0,0.0,0.0
846618bffffffff,80.0,0.0,0.0
846618dffffffff,25.0,0.0,0.0
8466191ffffffff,255.0,0.0,6.0
8466193ffffffff,464.0,0.0,7.0
8466195ffffffff,329.0,0.0,0.0
8466197ffffffff,573.0,0.0,0.0
8466199ffffffff,132.0,0.0,2.0
846619bffffffff,209.0,0.0,19.0
846619dffffffff,765.0,0.0,9.0
84661a3ffffffff,1.0,0.0,0.0
84661a5ffffffff,4.0,0.0,0.0
84661a7ffffffff,4.0,0.0,0.0
84661adffffffff,4.0,0.0,0.0
84661b1ffffffff,2171.0,0.0,371.0
84661b3ffffffff,1068.0,0.0,31.0
84661b7ffffffff,37.0,0.0,2.0
84661b9ffffffff,1706.0,0.0,10.0
84661bbffffffff,2051.0,0.0,24.0
84661bdffffffff,37.0,0.0,0.0
84661c3ffffffff,11.0,0.0,0.0
84661c9ffffffff,5.0,0.0,0.0
84661cdffffffff,64.0,0.0,0.0
84661d1ffffffff,879.0,0.0,16.0
