cell_id,Dicaeum ignipectus,Dicaeum ignipectus ignipectus/dolichorhynchum,Dicaeum ignipectus formosum
843c021ffffffff,3.0,0.0,0.0
843c029ffffffff,332.0,0.0,0.0
843c02bffffffff,1.0,0.0,0.0
843c02dffffffff,344.0,0.0,0.0
843c067ffffffff,37.0,0.0,0.0
843c0a3ffffffff,5.0,0.0,0.0
843c0a5ffffffff,350.0,0.0,0.0
843c0a7ffffffff,3.0,0.0,0.0
843c0a9ffffffff,22.0,0.0,0.0
843c0adffffffff,111.0,0.0,0.0
843c0b5ffffffff,61.0,0.0,0.0
843c0b7ffffffff,76.0,0.0,0.0
843c0bdffffffff,24.0,0.0,0.0
843c199ffffffff,83.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0
843c1d1ffffffff,8.0,0.0,0.0
843c1d3ffffffff,151.0,0.0,0.0
843c1d7ffffffff,11.0,0.0,0.0
843c1dbffffffff,58.0,0.0,0.0
843c303ffffffff,2.0,0.0,0.0
843c315ffffffff,15.0,0.0,0.0
843c317ffffffff,7.0,0.0,0.0
843c33bffffffff,29.0,0.0,0.0
843c341ffffffff,4.0,0.0,0.0
843c345ffffffff,2.0,0.0,0.0
843c423ffffffff,1.0,0.0,0.0
843c437ffffffff,16.0,0.0,0.0
843c43dffffffff,1.0,0.0,0.0
843c521ffffffff,112.0,0.0,0.0
843c523ffffffff,2.0,0.0,0.0
843c525ffffffff,13.0,0.0,0.0
843c527ffffffff,359.0,0.0,0.0
843c529ffffffff,2.0,0.0,0.0
843c52dffffffff,14.0,0.0,0.0
843c533ffffffff,12.0,0.0,0.0
843c537ffffffff,4.0,0.0,0.0
843c565ffffffff,1.0,0.0,0.0
843c567ffffffff,4.0,0.0,0.0
843c581ffffffff,469.0,0.0,0.0
843c583ffffffff,5.0,0.0,0.0
843c585ffffffff,4.0,0.0,0.0
843c587ffffffff,72.0,0.0,0.0
843c595ffffffff,92.0,0.0,0.0
843c5b1ffffffff,2.0,0.0,0.0
843c5b9ffffffff,23.0,0.0,0.0
843c5bbffffffff,13.0,0.0,0.0
843c5c1ffffffff,84.0,0.0,0.0
843c5c5ffffffff,7.0,0.0,0.0
843c5c7ffffffff,1.0,0.0,0.0
843c5cbffffffff,50.0,0.0,0.0
843c5d5ffffffff,16.0,0.0,0.0
843c5e9ffffffff,1.0,0.0,0.0
843c5ebffffffff,14.0,0.0,0.0
843cc03ffffffff,27.0,0.0,0.0
843cc11ffffffff,25.0,0.0,0.0
843cc15ffffffff,2.0,0.0,0.0
843cc31ffffffff,33.0,0.0,0.0
843cccdffffffff,3.0,0.0,0.0
843cd8bffffffff,59.0,0.0,0.0
843cdd5ffffffff,9.0,0.0,0.0
843ce29ffffffff,13.0,0.0,0.0
843ce31ffffffff,32.0,0.0,0.0
843ce3bffffffff,58.0,0.0,0.0
843ce41ffffffff,1.0,0.0,0.0
843ce43ffffffff,4.0,0.0,0.0
843ce49ffffffff,3.0,0.0,0.0
843ce4bffffffff,45.0,0.0,0.0
843ce4dffffffff,5.0,0.0,0.0
843ce51ffffffff,41.0,0.0,0.0
843ce53ffffffff,31.0,0.0,0.0
843ce55ffffffff,5.0,0.0,0.0
843ce57ffffffff,6.0,0.0,0.0
843ce59ffffffff,53.0,0.0,0.0
843ce5bffffffff,158.0,0.0,0.0
843ce5dffffffff,142.0,0.0,0.0
843ce83ffffffff,49.0,0.0,0.0
843ce85ffffffff,111.0,0.0,0.0
843ce87ffffffff,9.0,0.0,0.0
843ce8bffffffff,6.0,0.0,0.0
843ce95ffffffff,246.0,0.0,0.0
843cea1ffffffff,19.0,0.0,0.0
843cea3ffffffff,3.0,0.0,0.0
843cea5ffffffff,1.0,0.0,0.0
843ceabffffffff,2.0,0.0,0.0
843cebbffffffff,2.0,0.0,0.0
843cebdffffffff,39.0,0.0,0.0
843d101ffffffff,1.0,0.0,0.0
843d103ffffffff,42.0,0.0,0.0
843d107ffffffff,58.0,0.0,0.0
843d109ffffffff,16.0,0.0,0.0
843d10dffffffff,2.0,0.0,0.0
843d115ffffffff,21.0,0.0,0.0
843d117ffffffff,2.0,0.0,0.0
843d133ffffffff,14.0,0.0,0.0
843d137ffffffff,2.0,0.0,0.0
843d139ffffffff,58.0,0.0,0.0
843d13dffffffff,6.0,0.0,0.0
843d141ffffffff,2.0,0.0,0.0
843d143ffffffff,2.0,0.0,0.0
843d14bffffffff,2.0,0.0,0.0
843d151ffffffff,23.0,0.0,0.0
843d155ffffffff,11.0,0.0,0.0
843d157ffffffff,15.0,0.0,0.0
843d159ffffffff,1.0,0.0,0.0
843d15dffffffff,15.0,0.0,0.0
843d1a7ffffffff,2.0,0.0,0.0
843d1a9ffffffff,30.0,0.0,0.0
843d1adffffffff,2.0,0.0,0.0
843d1e1ffffffff,2.0,0.0,0.0
843d1e5ffffffff,6.0,0.0,0.0
843d1e7ffffffff,426.0,0.0,0.0
